Name,Strasse,Strasse_no_space,PlZ,Ort,Tel,E-Mail,Webseite
melectronics Centre Brügg,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,058 567 38 60,,
Meyer Alexander,Hauptstrasse 2,Hauptstrasse2,2555,Brügg BE,032 373 11 38,,
MG Zentrale Haustechnik GmbH,Rebhalde 22,Rebhalde22,2555,Brügg BE,* 032 372 76 66,info@mg-haustechnik.ch,
Micasa Home,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,* 058 567 38 90,,
Migros Restaurant Centre Brügg,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,058 567 38 50,,
Migros Supermarkt Centre Brügg MMM,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,* 058 567 38 00,,
Mister Minit,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,032 373 52 75,,
Möschler Franz,Hauptstrasse 18,Hauptstrasse18,2555,Brügg BE,* 032 373 11 71,,
Müller Thomas Bestattungsdienst,Industriestrasse 37C,Industriestrasse37C,2555,Brügg BE,* 031 839 00 39,,
Multiple Dimensions AG,Erlenstrasse 44,Erlenstrasse44,2555,Brügg BE,* 032 552 07 50,,
Muster Automobile GmbH,Römerstrasse 19,Römerstrasse19,2555,Brügg BE,* 032 397 18 80,musterauto@bluewin.ch,
Müve Biel-Seeland AG,Portstrasse 40,Portstrasse40,2503,Biel/Bienne,* 032 366 50 70,info@mueve.ch,
myhomejob Burri & Co.,Guinandstrasse 2,Guinandstrasse2,2555,Brügg BE,* 032 353 73 34,,
Nitronic AG,Mattenstrasse 11,Mattenstrasse11,2555,Brügg BE,* 032 373 70 70,,
Notz Metall AG,Bernstrasse 24,Bernstrasse24,2555,Brügg BE,* 032 366 75 55,,
Notz Plastics AG,Bielstrasse 75,Bielstrasse75,2555,Brügg BE,032 366 74 00,info@notz-plastics.ch,
"Oerlikon Balzers Coating SA, Brügg",Erlenstrasse 39,Erlenstrasse39,2555,Brügg BE,* 032 365 74 74,,
Optic 2000 Brügg,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,* 032 373 33 44,services@optic2000brugg.ch,
Optos GmbH,Bernstrasse 18,Bernstrasse18,2555,Brügg BE,* 043 277 07 37,usinfo@optos.com,
Parti Evangélique (PEV),Guinandstrasse 10,Guinandstrasse10,2555,Brügg BE,021 653 39 75,romandie@evppev.ch,
Perret Handling AG,Industriestrasse 20A,Industriestrasse20A,2555,Brügg BE,* 032 366 50 30,,
Perrot AudioVision SA,Mattenstrasse 2A,Mattenstrasse2A,2555,Brügg BE,* 032 387 60 80,info@perrot-audiovision.ch,
Post Filiale 2555 Brügg BE,Bahnhofstrasse 4,Bahnhofstrasse4,2555,Brügg BE,0848 888 888,kundendienst@post.ch,
Praxis Im Fahr,Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,* 032 373 44 11,praxis.imfahr@hin.ch,
Precimation AG,Erlenstrasse 35a,Erlenstrasse35a,2555,Brügg BE,* 032 366 69 99,welcome@precimation.ch,
PRINT TECH,Bielstrasse 67,Bielstrasse67,2555,Brügg BE,032 372 12 10,,
Prometplan AG,Wasserstrasse 10A,Wasserstrasse10A,2555,Brügg BE,032 372 72 33,,
Publikation Digital Operations GmbH,Moosweg 1,Moosweg1,2555,Brügg BE,032 674 60 00,,
Pure Sports GmbH,Römerstrasse 7,Römerstrasse7,2555,Brügg BE,032 373 20 00,,
Quadro Bau Seeland AG,Industriestrasse 37A,Industriestrasse37A,2555,Brügg BE,* 032 341 99 50,,
Quadro Bau Seeland AG,Industriestrasse 37A,Industriestrasse37A,2555,Brügg BE,032 322 10 77,,
Rasta-Storen GmbH,Mattenstrasse 5,Mattenstrasse5,2555,Brügg BE,* 032 322 98 30,info@rastastoren.ch,
Rawyler,Hauptstrasse 21,Hauptstrasse21,2555,Brügg BE,* 079 475 30 72,mircorawyler@gmail.com,
Realtools SA,Industriestrasse 28,Industriestrasse28,2555,Brügg BE,032 374 40 10,info@realtools.ch,
Reno Schuh AG,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,* 032 373 20 27,,
REVIVE Conversions SA,Wasserstrasse 5,Wasserstrasse5,2555,Brügg BE,032 322 55 22,,
Sacom AG,Erlenstrasse 27,Erlenstrasse27,2555,Brügg BE,* 032 366 85 85,mail@sacom.ch,
Sanare Heizungs AG,Industriestrasse 37c,Industriestrasse37c,2555,Brügg BE,* 032 373 64 66,,
Saphirwerk AG,Erlenstrasse 36,Erlenstrasse36,2555,Brügg BE,* 032 374 25 85,info@saphirwerk.com,
Schär Grünpflege GmbH,Chaletweg 6,Chaletweg6,2555,Brügg BE,* 079 945 39 72,schaergruenpflege@bluewin.ch,
Sejdaj Transporte,Industriestrasse 37,Industriestrasse37,2555,Brügg BE,* 032 373 58 31,,
Siam Take-Away,Bärletweg 2,Bärletweg2,2555,Brügg BE,* 079 695 44 21,,
Spielgruppe Musigdösli,Erlenstrasse 11,Erlenstrasse11,2555,Brügg BE,* 032 508 10 22,,
SportXX Centre Brügg,Erlenstrasse 40,Erlenstrasse40,2555,Brügg BE,058 567 39 20,,
Streamline AG,Mattenstrasse 6,Mattenstrasse6,2555,Brügg BE,* 032 358 00 58,info@streamlineag.ch,
SUPERSCRIPT GmbH,Haldenstrasse 31,Haldenstrasse31,2555,Brügg BE,* 076 307 89 45,,
SVAG Schweizer Vermögensberatung Aktiengesellschaft,Erlenstrasse 44,Erlenstrasse44,2555,Brügg BE,* 078 730 49 34,,
Technomag AG,Wasserstrasse 7,Wasserstrasse7,2555,Brügg BE,* 032 366 90 10,,
Tennis & Squash Längmatten AG Brügg,Industriestrasse 18,Industriestrasse18,2555,Brügg BE,* 032 373 17 47,,
Termitime Sàrl,Mattenstrasse 6,Mattenstrasse6,2555,Brügg BE,032 845 04 49,,
Thiriet Agemo AG,Bernstrasse 18,Bernstrasse18,2555,Brügg BE,032 365 03 60,agemo.brugg@agemo.ch,
Union GmbH Qualitätsketten,Erlenstrasse 27,Erlenstrasse27,2555,Brügg BE,* 032 341 27 25,sales@kettenunion.ch,
VFM Machines SA,Industriestrasse 22,Industriestrasse22,2555,Brügg BE,032 374 35 45,,
Viatte Peter,Erlenstrasse 27,Erlenstrasse27,2555,Brügg BE,* 032 331 20 06,,
Vircosy AG,Römerstrasse 7,Römerstrasse7,2555,Brügg BE,032 511 11 55,,
Viret Architectes SA,Wasserstrasse 1A,Wasserstrasse1A,2555,Brügg BE,* 032 365 56 13,,
Vitrerie Seeland Sàrl,Wasserstrasse 10A,Wasserstrasse10A,2555,Brügg BE,* 032 322 65 65,info@seeland-glas.ch,
VOI Migros Partner Brügg BE,Hauptstrasse 17,Hauptstrasse17,2555,Brügg BE,058 567 47 00,,
VR Autotechnik AG,Römerstrasse 19,Römerstrasse19,2555,Brügg BE,032 530 52 04,,
WMR Mira AG,Industriestrasse 20A,Industriestrasse20A,2555,Brügg BE,* 032 341 52 10,,
Zi+SANAmed gembh,Bernstrasse 18,Bernstrasse18,2555,Brügg BE,032 331 20 20,,
Abbühl Manfred und Katharina (-Beutler),Neubrückstrasse 24,Neubrückstrasse24,2555,Brügg BE,032 373 32 18,,
Abdel Rahman Ahmad,Erlenstrasse 5,Erlenstrasse5,2555,Brügg BE,032 365 48 24,,
Abedini Bajram,Bielstrasse 28A,Bielstrasse28A,2555,Brügg BE,032 372 20 93,,
Abrecht Rudolf und Nadja (-Ischer),Eschenweg 9,Eschenweg9,2555,Brügg BE,* 032 331 94 73,,
Aebersold Christian und Gaby (-Schütz),Bärletweg 8,Bärletweg8,2555,Brügg BE,032 373 16 46,,
Aebersold Elisabeth,Rebhalde 8,Rebhalde8,2555,Brügg BE,032 373 23 33,,
Aebersold Erika,Hauptstrasse 6,Hauptstrasse6,2555,Brügg BE,* 032 373 49 73,,
Aebersold Hugo u. Brigitte,Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,032 373 24 40,,
Aebersold Kurt,Friedhofweg 45,Friedhofweg45,2555,Brügg BE,032 373 37 94,,
Aebi Heinz (-Steuri),Römerstrasse 3,Römerstrasse3,2555,Brügg BE,032 373 45 65,,
Aebi Isabelle,Bielstrasse 28,Bielstrasse28,2555,Brügg BE,* 032 543 19 15,,
Aebi Rudolf,Orpundstrasse 5,Orpundstrasse5,2555,Brügg BE,032 373 22 71,,
Aebi Stefan,Aarestrasse 13,Aarestrasse13,2555,Brügg BE,032 373 33 43,,
Aebi Walter und Evelyne (-Fochi),Burgersriedstrasse 7,Burgersriedstrasse7,2555,Brügg BE,* 032 373 62 36,,
Aerni René et Brigitta,Guinandstrasse 12,Guinandstrasse12,2555,Brügg BE,032 365 80 73,,
Aeschbacher Hans,Römerstrasse 1,Römerstrasse1,2555,Brügg BE,032 373 27 46,,
Aeschlimann Eliane,Rosenweg 10,Rosenweg10,2555,Brügg BE,* 032 372 71 78,,
Affolter Jacqueline,Römerstrasse 1,Römerstrasse1,2555,Brügg BE,032 373 60 32,,
Ahmic Ramic Behija,Guinandstrasse 18,Guinandstrasse18,2555,Brügg BE,032 341 30 57,,
Aiyampillai Manivannan,Bielstrasse 57,Bielstrasse57,2555,Brügg BE,* 032 373 42 38,,
Alic Bahrudin,Brachmattstrasse 7,Brachmattstrasse7,2555,Brügg BE,* 032 372 78 61,,
Allenbach Stephan,Aarestrasse 9,Aarestrasse9,2555,Brügg BE,* 032 373 36 08,s.allenbach@bluewin.ch,
Altmann Michael,Aarestrasse 11,Aarestrasse11,2555,Brügg BE,032 372 16 49,,
Altorfer Stefan und Anja,Eschenweg 10,Eschenweg10,2555,Brügg BE,* 032 373 56 13,,
Amann Marlis,Guinandstrasse 4,Guinandstrasse4,2555,Brügg BE,* 079 705 10 56,,
Ambühl Adrian,Mattenstrasse 14,Mattenstrasse14,2555,Brügg BE,* 032 505 21 14,,
Ammann Georges und Silvia (-Huber),Sandacker 4,Sandacker4,2555,Brügg BE,* 032 373 72 57,,
Ammon Erich und Margrit (-Schneider),Orpundstrasse 28,Orpundstrasse28,2555,Brügg BE,032 373 14 41,,
Ammon Patrick und Michaela (-Wyss),Rainpark 16,Rainpark16,2555,Brügg BE,* 032 322 89 50,,
Amstutz Dora et Heidi,Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,032 331 05 36,,
Antonlouisnayagam Arumugam,Neubrückstrasse 38,Neubrückstrasse38,2555,Brügg BE,* 031 514 01 75,,
Apolloni Johanna,Neubrückstrasse 17,Neubrückstrasse17,2555,Brügg BE,031 869 54 87,,
Araújo Mendes Heim Olga Cristina,Aarestrasse 13,Aarestrasse13,2555,Brügg BE,* 079 291 01 28,,
Arber Hugo und Marie-Louise (-Revaz),Brachmattstrasse 15,Brachmattstrasse15,2555,Brügg BE,* 032 373 21 61,hh.arber@bluewin.ch,
Arn Edwin,Brachmattstrasse 15,Brachmattstrasse15,2555,Brügg BE,032 373 15 26,,
Arn Kurt (-Varrin),Mettgasse 3,Mettgasse3,2555,Brügg BE,032 373 27 55,,
Arnold Nadine,Klosterstrasse 13,Klosterstrasse13,2555,Brügg BE,* 032 559 86 79,,
Arumugam Sivakumar,Grünweg 8,Grünweg8,2555,Brügg BE,* 032 372 10 04,,
Aubert Hélène,Erlenstrasse 4,Erlenstrasse4,2555,Brügg BE,021 921 11 21,,
Azzoun Mohammed Fehmy,Aarestrasse 11,Aarestrasse11,2555,Brügg BE,* 032 558 79 10,,
Bachmann Hans-Rudolf,Friedhofweg 5,Friedhofweg5,2555,Brügg BE,032 373 20 02,,
Bachmann Jan,Brachmattstrasse 11A,Brachmattstrasse11A,2555,Brügg BE,* 032 505 25 94,,
Bachmann Martine,Burgersriedstrasse 4B,Burgersriedstrasse4B,2555,Brügg BE,* 032 331 06 86,,
Bachmann Paul,Mettgasse 8,Mettgasse8,2555,Brügg BE,* 032 373 26 13,,
Bachmann Rolf,Rainstrasse 2,Rainstrasse2,2555,Brügg BE,032 373 58 32,,
Badertscher Claude,Erlenstrasse 5,Erlenstrasse5,2555,Brügg BE,* 032 373 16 19,,
Baehni Thomas und Anne Marie,Burgersriedstrasse 3,Burgersriedstrasse3,2555,Brügg BE,* 032 373 21 80,,
Baharak Sadeghi Alamdari,Bielstrasse 34,Bielstrasse34,2555,Brügg BE,032 384 18 22,,
Baillif Hanspeter,Rainstrasse 28,Rainstrasse28,2555,Brügg BE,032 373 12 72,,
Baliu Elbisana,Erlenstrasse 1,Erlenstrasse1,2555,Brügg BE,* 032 544 08 37,,
Ballestraz-Hasler Natalia,Kreuzgasse 21,Kreuzgasse21,2555,Brügg BE,* 032 341 02 34,,
Balmer Rico,Ahornweg 6,Ahornweg6,2555,Brügg BE,* 078 659 76 10,,
Bandi Walter (-Affolter),Hauptstrasse 24,Hauptstrasse24,2555,Brügg BE,032 373 39 04,,
Bangerter Erwin (-Biedermann),Römerstrasse 3,Römerstrasse3,2555,Brügg BE,032 373 23 44,,
Bangerter Heinz,Poststrasse 10,Poststrasse10,2555,Brügg BE,032 373 49 78,,
Bart Pierre-Alain,Eschenweg 4,Eschenweg4,2555,Brügg BE,* 032 373 23 50,bart@zmail.ch,
Bätscher Monika,Friedhofweg 51,Friedhofweg51,2555,Brügg BE,* 032 373 52 04,,
Battaglia Mariano,Poststrasse 7,Poststrasse7,2555,Brügg BE,032 373 17 13,,
Bauer R.,Grünweg 5,Grünweg5,2555,Brügg BE,032 373 38 62,,
Baumann Fritz (-Fuchs),Aarestrasse 11,Aarestrasse11,2555,Brügg BE,032 373 34 86,,
Baumann Margrit (-Christen),Bärletweg 5,Bärletweg5,2555,Brügg BE,032 373 20 50,,
Baumgartner Guido (-Meier),Rainpark 16,Rainpark16,2555,Brügg BE,032 373 44 76,,
Baumgartner Rosmarie,Bielstrasse 33,Bielstrasse33,2555,Brügg BE,032 373 33 30,,
Baumgartner Ursula,Bielstrasse 33,Bielstrasse33,2555,Brügg BE,032 373 37 21,,
Beatrice und Luca Krähenbühl,Friedhofweg 6,Friedhofweg6,2555,Brügg BE,* 079 819 37 40,,
Beeli Christian und Angela (-Gaus),Bielstrasse 36,Bielstrasse36,2555,Brügg BE,* 032 322 38 78,,
Beer Karl Thomas und Marion (-Meister),Rebhalde 13,Rebhalde13,2555,Brügg BE,* 031 862 19 01,,
Beller Jürgen,Mühleweg 2,Mühleweg2,2555,Brügg BE,032 331 34 22,,
Benninger Heinz,Mattenstrasse 5,Mattenstrasse5,2555,Brügg BE,* 032 373 48 16,,
Benoit Roland,Burgersriedstrasse 8,Burgersriedstrasse8,2555,Brügg BE,032 373 22 31,,
Berger Jonathan,Industriestrasse 10d,Industriestrasse10d,2555,Brügg BE,* 032 373 35 24,,
Berger Marcel,Friedhofweg 35,Friedhofweg35,2555,Brügg BE,* 032 373 66 89,berger.marcel67@bluewin.ch,
Berger Martin u. Claudia,Aarestrasse 10,Aarestrasse10,2555,Brügg BE,* 032 373 22 83,,
Berger Roland,Rosenweg 9,Rosenweg9,2555,Brügg BE,* 032 341 30 29,,
Bernard Mario Olivier,Bielstrasse 66,Bielstrasse66,2555,Brügg BE,032 372 19 08,,
Bessire Robert,Hauptstrasse 20,Hauptstrasse20,2555,Brügg BE,* 032 373 22 64,,
Beyeler Hansruedi,Neubrückstrasse 23,Neubrückstrasse23,2555,Brügg BE,032 315 20 78,,
Bhor Franziska,Industriestrasse 4B,Industriestrasse4B,2555,Brügg BE,* 032 372 12 20,,
Bianchi Carlo,Eschenweg 5,Eschenweg5,2555,Brügg BE,* 032 373 19 25,,
Bianchi Hedwig,Ahornweg 16,Ahornweg16,2555,Brügg BE,* 032 373 39 05,,
Bickel Markus,Orpundstrasse 30,Orpundstrasse30,2555,Brügg BE,* 032 373 70 73,,
Bickel Patrick und Jacqueline,Guinandstrasse 14,Guinandstrasse14,2555,Brügg BE,* 032 373 54 44,,
Bickel Urs (-Batschelet),Schulstrasse 3,Schulstrasse3,2555,Brügg BE,032 373 20 87,,
Biedermann Erich (-Lobsiger),Bielstrasse 86,Bielstrasse86,2555,Brügg BE,032 373 51 80,,
Biedermann François,Haldenstrasse 24,Haldenstrasse24,2555,Brügg BE,* 079 349 23 06,,
Biedermann Renate,Neubrückstrasse 24,Neubrückstrasse24,2555,Brügg BE,* 032 373 72 19,,
Biedermann Rosemarie (-Meier),Friedhofweg 5,Friedhofweg5,2555,Brügg BE,032 373 10 64,,
Bieri Walter,Mattenstrasse 16,Mattenstrasse16,2555,Brügg BE,* 032 373 46 73,,
Bigler Bernhard und Marta,Friedhofweg 33,Friedhofweg33,2555,Brügg BE,* 079 218 77 28,,
Bigler Ursula,Erlenstrasse 8,Erlenstrasse8,2555,Brügg BE,* 032 397 14 41,,
Bilat Ursula,Brachmattstrasse 15,Brachmattstrasse15,2555,Brügg BE,* 032 342 24 27,,
Binkert René u. Heidi,Bielstrasse 48,Bielstrasse48,2555,Brügg BE,032 373 49 28,,
Bischoff Martin und Christina (-Ramseier),Kreuzgasse 8,Kreuzgasse8,2555,Brügg BE,* 032 372 73 29,,
Bissat Théo (-Walther),Pfeideck 4,Pfeideck4,2555,Brügg BE,032 373 48 68,,
Blank Therese (-Gäumann),Sonnhalde 2,Sonnhalde2,2555,Brügg BE,* 078 851 55 41,,
Blaser Margrit,Hauptstrasse 8,Hauptstrasse8,2555,Brügg BE,032 373 16 32,,
Blaser Patrick (-Da Silva),Gartenweg 1,Gartenweg1,2555,Brügg BE,032 373 23 43,,
Blindenbacher Florian,Friedhofweg 3,Friedhofweg3,2555,Brügg BE,* 032 372 16 10,,
Blunier Markus,Friedhofweg 3,Friedhofweg3,2555,Brügg BE,* 032 373 12 34,,
Blunier Max,Kreuzgasse 8,Kreuzgasse8,2555,Brügg BE,032 373 39 26,,
Boder Evelyne,Brachmattstrasse 23,Brachmattstrasse23,2555,Brügg BE,032 373 68 06,,
Boesch Gertrud,Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,* 032 365 43 13,,
Bögli Hans-Peter (-Scheidegger),Obergasse 5,Obergasse5,2555,Brügg BE,* 032 373 46 70,,
Bogni Jean-Pierre (-Spiess),Waldeckstrasse 1,Waldeckstrasse1,2555,Brügg BE,* 032 373 18 17,,
Bohli Hansueli,Industriestrasse 3,Industriestrasse3,2555,Brügg BE,* 032 373 50 58,,
Bohren Andrea (-Hafen),Rebhalde 5,Rebhalde5,2555,Brügg BE,032 373 62 54,,
Boillat André,Neubrückstrasse 24,Neubrückstrasse24,2555,Brügg BE,032 372 17 64,,
Boinay Jean-Pierre (-Annoni),Burgersriedstrasse 27,Burgersriedstrasse27,2555,Brügg BE,032 373 38 89,,
Boldini-Steck Marco und Käthi,Mettgasse 12,Mettgasse12,2555,Brügg BE,032 373 16 40,,
Borne Daniel et Iryna,Mattenstrasse 14,Mattenstrasse14,2555,Brügg BE,* 032 466 38 83,,
Boss Katharina,Mattenstrasse 12,Mattenstrasse12,2555,Brügg BE,* 032 365 53 01,,
Bosshard Peter,Mattenstrasse 14,Mattenstrasse14,2555,Brügg BE,032 373 43 20,,
Bouduban Alexandre,Brachmattstrasse 17,Brachmattstrasse17,2555,Brügg BE,032 373 51 36,,
Bourquin Karin,Aarestrasse 17,Aarestrasse17,2555,Brügg BE,032 373 49 15,,
Braillard François,Aarestrasse 13,Aarestrasse13,2555,Brügg BE,* 032 373 25 63,,
Bramato Alfredo (-Nägeli),Aarestrasse 8,Aarestrasse8,2555,Brügg BE,032 373 56 75,,
Brassel Hans Peter,Friedhofweg 4,Friedhofweg4,2555,Brügg BE,* 032 373 48 74,,
Brawand Christian und Sandra (-Sahli),Waldeckstrasse 2,Waldeckstrasse2,2555,Brügg BE,* 032 373 12 03,,
Brawand Peter u. Brigitte (-Riesen),Brachmattstrasse 10,Brachmattstrasse10,2555,Brügg BE,032 373 28 39,,
Brenner Andrea,Kanalweg 18,Kanalweg18,2555,Brügg BE,* 032 373 44 85,,
Bron Benjamin et Gosteli Odile,Mattenstrasse 12,Mattenstrasse12,2555,Brügg BE,* 032 372 71 88,,
Brönnimann Heinz (-Stampfli),Brachmattstrasse 11b,Brachmattstrasse11b,2555,Brügg BE,* 032 373 73 07,,
Brönnimann Markus,Haldenstrasse 22,Haldenstrasse22,2555,Brügg BE,032 373 26 67,,
Brossard Jean-Jacques,Pfeidstrasse 7,Pfeidstrasse7,2555,Brügg BE,* 032 373 41 80,,
Brotschi Fredy,Erlenstrasse 1,Erlenstrasse1,2555,Brügg BE,032 373 48 79,,
Brotschi Heinz,Bielstrasse 28B,Bielstrasse28B,2555,Brügg BE,032 373 35 76,,
Brunner Eduard,Friedhofweg 6,Friedhofweg6,2555,Brügg BE,* 079 352 60 30,,
Brunner Erwin (-Fuhrer),Brachmattstrasse 6,Brachmattstrasse6,2555,Brügg BE,032 373 32 75,,
Bucher Magdalena,Friedhofweg 25,Friedhofweg25,2555,Brügg BE,* 032 373 30 62,,
Bucher Manfred,Kanalweg 16,Kanalweg16,2555,Brügg BE,* 032 373 50 79,,
Buchli Urs und Barbara,Hauptstrasse 3,Hauptstrasse3,2555,Brügg BE,* 078 890 24 99,,
Bühler Ernst und Ge (-Kocher),Orpundstrasse 27A,Orpundstrasse27A,2555,Brügg BE,032 373 28 07,,
Buntschu René,Pfeidstrasse 18,Pfeidstrasse18,2555,Brügg BE,032 373 38 27,,
Burgermeister Hansruedi,Prateiweg 3,Prateiweg3,2555,Brügg BE,* 032 355 19 48,,
Bürgi Beat,Dahlienweg 4,Dahlienweg4,2555,Brügg BE,032 685 57 70,,
Bürgi Silvia Agnes,Neubrückstrasse 15,Neubrückstrasse15,2555,Brügg BE,* 032 373 40 63,,
Bürgy Therese,Neubrückstrasse 19,Neubrückstrasse19,2555,Brügg BE,032 373 47 08,,
Buri Walter (-Läng),Brachmattstrasse 1,Brachmattstrasse1,2555,Brügg BE,032 373 19 23,,
Burkhalter André,Erlenstrasse 4,Erlenstrasse4,2555,Brügg BE,* 032 372 78 73,,
Burkhalter Hans und Elisabeth (-Glauser),Erlenstrasse 4,Erlenstrasse4,2555,Brügg BE,* 032 373 22 30,,
Burkhalter Rudolf (-Christinat),Erlenstrasse 5,Erlenstrasse5,2555,Brügg BE,* 032 373 24 83,,
Burn Anton,Brachmattstrasse 11a,Brachmattstrasse11a,2555,Brügg BE,* 032 373 51 04,,
Burri Brigitte,Obergasse 7,Obergasse7,2555,Brügg BE,* 032 373 34 53,,
Burri Helena (-Eggli),Obergasse 7,Obergasse7,2555,Brügg BE,* 032 373 12 62,,
Burri Stephan und Felisa,Guinandstrasse 2,Guinandstrasse2,2555,Brügg BE,* 032 353 73 33,,
Bussinger Heinz (-Glanzmann),Mattenstrasse 18,Mattenstrasse18,2555,Brügg BE,* 032 373 44 19,,
Cafici Paolo,Bielstrasse 32,Bielstrasse32,2555,Brügg BE,* 032 372 19 79,,
Calame Denise,Aarestrasse 11,Aarestrasse11,2555,Brügg BE,* 032 373 43 18,,
Cannistraci Giuseppe,Obergasse 25,Obergasse25,2555,Brügg BE,032 373 40 55,,
Capezio Maria Gerarda,Guinandstrasse 4,Guinandstrasse4,2555,Brügg BE,* 032 365 47 89,,
Capol Reto u. Elisabeth (-Kocher),Prateiweg 1,Prateiweg1,2555,Brügg BE,* 032 355 21 35,,
Carrera Jean-Michel,Rainstrasse 24,Rainstrasse24,2555,Brügg BE,032 373 14 08,,
Cavin Daniel (-Cavin),Brachmattstrasse 27,Brachmattstrasse27,2555,Brügg BE,* 032 373 39 48,,
Cerny Daniel,Hauptstrasse 10,Hauptstrasse10,2555,Brügg BE,* 032 373 63 39,,
Chalbia Marianna,Neubrückstrasse 21,Neubrückstrasse21,2555,Brügg BE,032 373 72 83,,
Chavaillaz Willi und Binia (-von Gunten),Kanalweg 6,Kanalweg6,2555,Brügg BE,032 322 36 12,,
Chédel Olivia,Mattenstrasse 12,Mattenstrasse12,2555,Brügg BE,* 032 373 28 82,,
Chevalier David,Obergasse 16A,Obergasse16A,2555,Brügg BE,032 341 74 92,,
Chiaporri Heidi,Kanalweg 2,Kanalweg2,2555,Brügg BE,032 373 73 46,,
Choquard André und Liliane (-Berger),Burgersriedstrasse 9,Burgersriedstrasse9,2555,Brügg BE,* 032 373 56 42,,
Choquard Fabienne,Haldenstrasse 31A,Haldenstrasse31A,2555,Brügg BE,032 331 67 68,,
Christen Roland,Pfeidstrasse 12,Pfeidstrasse12,2555,Brügg BE,* 032 373 17 31,,
Christinat Susanne Heidi,Aarestrasse 11,Aarestrasse11,2555,Brügg BE,* 032 373 41 86,,
Coati Luciano,Bielstrasse 61B,Bielstrasse61B,2555,Brügg BE,* 033 650 92 23,,
Coban Hanna (-Cotting),Römerstrasse 3,Römerstrasse3,2555,Brügg BE,032 373 29 50,,
Coelho Dos Santos Rocha Monica Paula,Grünweg 6,Grünweg6,2555,Brügg BE,032 372 70 60,,
Conus Doris,Bielstrasse 49b,Bielstrasse49b,2555,Brügg BE,032 373 29 39,,
Conzatti Bruno,Gottstattstrasse 5,Gottstattstrasse5,2555,Brügg BE,* 032 331 65 92,,
Conzatti Michela,Neubrückstrasse 19,Neubrückstrasse19,2555,Brügg BE,032 373 47 83,,
Cox Marianne (-Erlacher),Mattenstrasse 18,Mattenstrasse18,2555,Brügg BE,* 032 372 18 89,,
Cultrera Sonya,Römerstrasse 1,Römerstrasse1,2555,Brügg BE,032 365 49 92,,
Curty Cédric und Julia (-Schwentesius),Haldenstrasse 31,Haldenstrasse31,2555,Brügg BE,* 032 492 18 44,,
Cutraro Antonio u. Giusppina (-Iannizotto),Waldeckstrasse 13,Waldeckstrasse13,2555,Brügg BE,032 373 41 56,,
Dähler Verena (-Althaus),Bielstrasse 12,Bielstrasse12,2555,Brügg BE,* 032 373 23 38,,
Dahoun Bendaoud Cherif,Erlenstrasse 1,Erlenstrasse1,2555,Brügg BE,* 032 322 67 74,,
Dardel Bruno (-Conrad),Industriestrasse 4A,Industriestrasse4A,2555,Brügg BE,032 373 26 59,,
Dasen Trudy (-Brand),Orpundstrasse 6,Orpundstrasse6,2555,Brügg BE,* 032 373 33 66,,
De Benedetto Ettore,Bielstrasse 28a,Bielstrasse28a,2555,Brügg BE,* 032 372 21 18,,
De Blasi Annemarie (-Schneider),Bielstrasse 34,Bielstrasse34,2555,Brügg BE,032 373 31 69,,
de Bros Martial und Isabelle,Haldenstrasse 20A,Haldenstrasse20A,2555,Brügg BE,* 032 322 70 06,,
De Falcis Marco,Pfeideck 2,Pfeideck2,2555,Brügg BE,* 032 373 50 66,,
De Falcis Silvia Marguerithe,Pfeideck 2,Pfeideck2,2555,Brügg BE,* 032 373 10 59,,
de Sá Gregorio K.R.,Rosenweg 3,Rosenweg3,2555,Brügg BE,* 032 373 26 17,,
Delaquis Laurent,Dahlienweg 4,Dahlienweg4,2555,Brügg BE,* 079 470 25 09,,
Descloux Marius,Rainstrasse 5,Rainstrasse5,2555,Brügg BE,* 032 372 70 30,,
Descloux Olivier,Friedhofweg 39,Friedhofweg39,2555,Brügg BE,* 044 586 00 33,,
Descloux Olivier Laszlo,Friedhofweg 39,Friedhofweg39,2555,Brügg BE,* 032 559 81 66,,
Deumic Bajro (-Sales),Römerstrasse 3,Römerstrasse3,2555,Brügg BE,032 365 70 43,,
Di Felice Domenico et Sarita,Aarestrasse 9,Aarestrasse9,2555,Brügg BE,032 342 25 15,,
Di Lorenzo Ines (-Di Matteo),Neubrückstrasse 26,Neubrückstrasse26,2555,Brügg BE,032 373 18 94,,
Di Meo Eveline und Gino,Haldenstrasse 14,Haldenstrasse14,2555,Brügg BE,* 032 373 56 09,,
Diaz-Grossenbacher Marianne u. Marcial,Kreuzgasse 9,Kreuzgasse9,2555,Brügg BE,032 373 34 42,,
Diethelm Jean,Brachmattstrasse 10,Brachmattstrasse10,2555,Brügg BE,032 373 51 11,diethelm.john@outlook.com,
