titel;author;konferenz;veranstaltungstitel;zeitschrift;datum;Tweet Datum;Tweet
;;;;;;2011-08-16 07:43:26+00:00;Micro-Job-Börse! Wünsche dem Startup #gigalocal Erfolg: http://t.co/5MJSx2G. So eine Dienstleistungs-Wirtschaft vermisste ich bislang.
;;;;;;2011-08-15 16:49:34+00:00;Intellectual Jazz statt Folien-Präsis und Podien. TED-Gründer hat Ideen für ein Conversation-over-presentation model: http://t.co/Q1gR9Ls
;;;;;;2011-08-15 16:43:42+00:00;"Lese Black Swan von N. Taleb. Er sagte über TED, das ich schätze: ""a monstrosity that turns scientists ... into low-level entertainers, ..."""
;;;;;;2011-08-15 16:35:45+00:00;Hier kann man als Social Media (Marketing)  Manager/in walten: Swiss Re Stellenausschreibung: http://t.co/DnFvywN
;;;;;;2011-08-05 22:11:48+00:00;Wenn schon Prezi statt PPT, dann gut gestaltet:  Tipps wie es geht, und die Zeit sparen: http://slidesha.re/qri1yq
;;;;;;2011-08-05 21:49:26+00:00;App Talk-o-Meter: Wer lässt wen nicht zu Wort kommen? http://bit.ly/pPdK2d  via Beat Doebe
;;;;;;2011-08-05 21:39:40+00:00;Nanokurze Erklärvideos zu Open Access: Je 3 in Engl. und Deutsch: http://bit.ly/e65pfN. Nett gemacht bei kleinem Budget.
;;;;;;2011-08-05 21:20:21+00:00;NYT Customer Insight Studie The Psyhology of Sharing: http://nyti.ms/rj9esn: Auf Folie 25ff. Six personas of sharers
;;;;;;2011-08-02 21:54:03+00:00;Erlangen Stadt auf Platz 1 in D beim Index aus: Talent, Technologie und Toleranz (Tabelle 34, S. 124 dieser) Studie: http://bit.ly/nimdMT
;;;;;;2011-07-25 09:56:36+00:00;"Interaktive Infografik zu ""State of the Internet"": http://bit.ly/qMDczn . Via www.netzwertig.com"
;;;;;;2011-07-25 09:56:36+00:00;"Interaktive Infografik zu ""State of the Internet"": http://bit.ly/qMDczn . Via www.netzwertig.com"
;;;;;;2011-07-20 12:37:40+00:00;Nicht nur für Webentwickler: Präsi HTML5 Update. Folie 31: Einsatzreife einzelner Features: http://slidesha.re/rqxgcB
;;;;;;2011-07-14 08:21:22+00:00;http://netzwertig.com/2011/07/14/garanbo-reposito-garantieunterlagen-online-verwalten/
;;;;;;2011-07-13 18:59:38+00:00;Kann man nur hoffen, dass dem so ist: Drei weibliche Führungsqualitäten im Kontrast zur männlichen Haltung: http://bit.ly/pK94y2
;;;;;;2011-07-11 08:10:10+00:00;Google Maps (Lab) für Android: Karten (vom Umkreis) bleiben lokal gespeichert - klingt sehr brauchbar: http://bit.ly/pu6xhQ
;;;;;;2011-07-07 06:22:01+00:00;Dürfen Sie Apps auf Ihr Geschäftshandy laden? Mitmachen bei Studie Mobile Business Solutions: http://bit.ly/r5ZaXA
;;;;;;2011-07-06 10:26:25+00:00;Gerade in einem Vortrag zu Cloud Computing? Hier ein Cloud-Buzzword-Bingo: http://bit.ly/ptvkDc @cw_smk
;;;;;;2011-07-06 09:53:37+00:00;First impressions of Google+ mit Video auf #hackcollege: http://bit.ly/mens4a
;;;;;;2011-07-06 09:51:09+00:00;Fallstudien zu Enterprise 2.0 finden? Sagen Sie in dieser Umfrage http://bit.ly/regRRn nach welchen Kriterien Sie suchen. www.e20cases.org
;;;;;;2011-07-04 07:20:55+00:00;Nochmal:  Work smarter, not harder. Motto der Website #hackcollege: http://bit.ly/STQKz (wenn 1% der Studierenden und Faculty ....)
;;;;;;2011-07-04 07:19:13+00:00;Work smarter, not harder. Motto der Website #hackcollege:: http://bit.ly/ml488K  (If we can change the way … (cont) http://deck.ly/~GOU4L
;;;;;;2011-07-03 12:48:56+00:00;Herr der eigenen Daten bleiben, z.B. Daten bei Google löschen: Data Liberation Front machts möglich: http://bit.ly/kQyOOd
;;;;;;2011-06-28 06:58:40+00:00;RT @JoachimNiemeier: Weak ties and serendipity: The power of reconnection - How dormant ties can surprise you - http://bit.ly/gyOQ3H PDF ...
;;;;;;2011-06-28 06:23:01+00:00;Live performance data (CPU, memory, disk) for the last 48 hrs for servers in clouds worldwide: http://bit.ly/bP37co #cloudclimate
;;;;;;2011-06-27 20:47:00+00:00;"Kennen Sie den ""Penguin Effect"" bzw. anticipatory retardation bei Innovation wie Cloud Comp? Hier ist es erklärt: http://bit.ly/iH5lgK"
;;;;;;2011-06-27 20:30:52+00:00;1 min video-demo: Warum Office Software noch lokal installieren? DaaS - Desktop as a Service: http://youtu.be/_2Gpnq_o9Gg
;;;;;;2011-06-27 14:59:52+00:00;Enterprise 2.0 im DACH-Raum, Studienergebnisse, Reifegradmodell und Anwender-Networking am 23.8. in St. Gallen: http://bit.ly/jd3WqV
;;;;;;2011-06-27 05:30:56+00:00;Neu: Fallstudie Nr. 11 auf #e20cases: SFS services nutzt Wiki im Monitoring von Integrationsplattform #SAP: http://bit.ly/lGvmCJ
;;;;;;2011-06-17 14:18:35+00:00;"Die Zukunft von Lernen und Wissen vial #LearningWaves, mit Kolumne ""Wie man ein Land glücklich twittert"": http://bit.ly/gG3kh"
;;;;;;2011-06-17 12:18:13+00:00;Diversity bringts! Harvard Business Review Research: What Makes a Team Smarter? More Women. Podcast & Text: http://bit.ly/iwzH0V
;;;;;;2011-06-17 12:18:13+00:00;Diversity bringts! Harvard Business Review Research: What Makes a Team Smarter? More Women. Podcast & Text: http://bit.ly/iwzH0V
;;;;;;2011-06-17 06:26:29+00:00;Computerworld Swiss CIO Special, S. 7: Bei Prios für 5 Jahre macht Interne Komm.&Kollab. Stufensprung Platz 8 auf 4, die grösste Änderung
;;;;;;2011-06-17 06:11:10+00:00;"Computerworld Special Swiss ""CIO - Die Schweizer IT-Elite"". Tja,  Männer unter sich. 0.0% Frauenanteil bei 50 CIOs der groessten CH Firmen"
;;;;;;2011-06-17 06:06:43+00:00;Our slideset How to Use Social Media in Universities http://slidesha.re/lzcPTj featured auf Slideshare Homepage. 2.500 Zugriffe ff.
;;;;;;2011-06-16 14:05:19+00:00;"Twitter Happiness Map: http://bit.ly/fl3xvV. Danke ;-) an A. Davies für diese nette Forschungsfrage - und Stoff für Kolumne :-)"
;;;;;;2011-06-15 21:16:19+00:00;Gutes Erklärvideo: Gegen Wahlkampffinanzierung in US durch Unternehmen: http://www.youtube.com/storyofstuffproject
;;;;;;2011-06-14 13:15:25+00:00;Assessing Degrees of Web-2.0-ness. Our Research Paper Presentation now online: http://slidesha.re/iCgIRi #eBled @BledConference
;;;;;;2011-06-14 10:17:23+00:00;My presentation on Social Media in Universities now on Slideshare: http://slidesha.re/lzcPTj  #eBled @BledConference
;;;;;;2011-06-09 06:04:09+00:00;Von einer die auszog, in der Cloud zu arbeiten. Heute (m)ein Erfahrungsbericht #asut Tagung: http://slidesha.re/mfvqRc
;;;;;;2011-06-01 14:32:58+00:00;"Videos in internal corporate communication, z.B. ""Has Motivation died in your team?"": http://bit.ly/ki9vbW"
;;;;;;2011-06-01 10:21:08+00:00;Bewusster mit Deutsch umgehen - und dabei Spass haben:  Berater-Bingo mit 3 Vorlagen: http://bit.ly/k27ERn
;;;;;;2011-05-31 06:51:33+00:00;Selbstmanagement, wenn man zu Hause arbeitet: WEb-Worker-Erfahrungsbericht und Tipps  aus 9 Jahren Praxis von: http://bit.ly/m0IcC3
;;;;;;2011-05-31 06:16:55+00:00;Super! Tool Netspeak (Mehrheitsentscheid bei Englischen Ausdrücken) Macht das bequem, was ich bisher händisch tat: http://bit.ly/iwPQNt
;;;;;;2011-05-31 06:10:49+00:00;"Pressemitteilungen 2.0 nennt man also ""Social Media Newsroom"", gute Beispiele hier: http://bit.ly/k4mvdd, u.a. Coca-Cola"
;;;;;;2011-05-30 18:40:23+00:00;"""Ich liebe es, wenn ich kleine Bomben ins Hirn des Zuschauers pflanzen kann, die später etwas in ihm auslösen."" T. Gilliam im FAZ-Gespräch"
;;;;;;2011-05-30 07:21:25+00:00;Interessante Daten aus McKinsey Studie zur Internetökonomie (13 Länder): http://bit.ly/jcaiXL, Deutschland (nur) Mittelfeld.
;;;;;;2011-05-27 07:35:47+00:00;Die Web 2.0 Werte machen Karriere: Das Web ändert was gutes Management ist. Strategie-Prof. Hamels Gedanken: http://bit.ly/iAJzUl
;;;;;;2011-05-27 07:22:53+00:00;"Schreiben Sie wiss. Beitrag zu ""E-Learning im Fremdsprachenerwerb""! Abstract bis 30.9. an ZEL, CfP hier: http://bit.ly/klLbaB"
;;;;;;2011-05-26 13:23:54+00:00;Ein Wiki für Organigramme von Unternehmen: http://bit.ly/3DG4YI. Aber wie sehen Org Charts von Netzwerkunternehmen aus?
;;;;;;2011-05-24 12:07:19+00:00;Sie planen ein Projekt, an der Uni mobile Apps bereitzustellen? Hier Ergebnisse unseres UniApp-Projekts: http://slidesha.re/lI1uv0
;;;;;;2011-05-24 12:07:19+00:00;Sie planen ein Projekt, an der Uni mobile Apps bereitzustellen? Hier Ergebnisse unseres UniApp-Projekts: http://slidesha.re/lI1uv0
;;;;;;2011-05-24 11:19:16+00:00;"Wer sagt:  ""Ich suche Literatur zu ..."" fragt via twitter @econbiz! Wie genau das geht hier: http://bit.ly/lm4uhH"
;;;;;;2011-05-24 11:15:16+00:00;@edaktik Ging es um diesen Kurzlink? Visualisierung Verbindung Leute? War nicht dysfunktional: http://bit.ly/bKnD9
;;;;;;2011-05-24 10:59:07+00:00;Das gibt es tatsächlich: Literaturrecherche in BWL/VWL per Twitter-Auskunftsdienst. Danke EconBiz: http://bit.ly/maUruk
;;;;;;2011-05-20 07:09:13+00:00;Verbindungen zwischen Leuten visualisieren (free Tool) (u.a. auf Datenbasis ihrer öff. CVs): http://bit.ly/bKnD9
;;;;;;2011-05-20 06:16:50+00:00;Immer aktuell: Online-Marketing-Buch als Wiki-Webseite, mit Glossar: Wie fischt man Kunden aus dem Netz? http://bit.ly/jQRE5b @JoergEugster
;;;;;;2011-05-13 09:32:07+00:00;Finden Sie heraus: Wie reif sind ihr Team/Abteilung/Organisation für Enterprise 2.0? Bis 30.5. antworten: http://bit.ly/irtJQp (D u. E)
;;;;;;2011-05-13 09:23:23+00:00;Ipads & Co eignen sich auch zum ernsthaften Arbeiten, wer es so noch nicht macht,  hier mehr lesen: http://bit.ly/mjBPWV
;;;;;;2011-05-12 13:51:30+00:00;RT @peter_kruse: Die Explosion von Komplexität macht die intelligente Datenvisualisierung zur strategischen Priorität. Schönes Beispiel: ...
;;;;;;2011-04-27 15:36:20+00:00;#BISHSG MyStudis haben Strasse zum Usability-Lab gemacht: Leuten einfach iPhone in die Hand gedrückt, um AppUse life zu beobachten. Clever!
;;;;;;2011-04-27 07:37:51+00:00;"Glaub nicht, dass das was wird: Privates Car-Sharing: http://bit.ly/fhfyt4. Hab gelernt: ""Frauen und Autos leiht man nicht her"" - men too"
;;;;;;2011-04-26 07:26:20+00:00;Zwei tolle Apps für 360-Fotos im Vergleich: http://scoble.it/hpGrNn
;;;;;;2011-04-21 12:05:48+00:00;15 Gründer erzählen in wenigen Sätzen, wann sie die Geschäftsidee hatten: http://bit.ly/eR6NGN
;;;;;;2011-04-20 13:42:05+00:00;Aufgezeichnete Vorträge der Swiss E-Learning Conference #selc11 sind jetzt online: http://bit.ly/e7Qjeh
;;;;;;2011-04-06 06:56:55+00:00;"NZZonline Artikel ""Kaum Hochschul-Apps"". Unsere UniApp-Projekt #switch: http://bit.ly/gEY2Mo (3. Absatz ff) bald Plattform für viele Unis"
;;;;;;2011-04-06 06:53:05+00:00;"Präsentation #selc11 mit vielen Beispielen zu Videobasiertes Workplace Learning - auf dem Siegeszug 2.0"" http://slidesha.re/g8aPTB"
;;;;;;2011-03-27 12:54:17+00:00;Schon vor Kolumbus, Isländern transatlantische Kontakte? - In der Steinzeit mit Schilfboot. Video zum Projekt: http://www.abora.eu/
;;;;;;2011-03-26 08:35:01+00:00;Geniale Schreib-Strategie (von Sascha Lobo) zur Mailreduktion, einfach da dann weniger Antwort-/Rückfragemails: http://bit.ly/dMUiCH
;;;;;;2011-03-25 22:40:09+00:00;Schön anzusehn, und informativ: History of Social Media - cartoon drawings: http://slidesha.re/g81QXF
;;;;;;2011-03-25 19:46:27+00:00;Bald machen Profs. zu ihrem Kurs ein Intro Video. Anregungen? Vgl. Video-Intro von Lady Gaga bei GoogleTalks: http://youtu.be/YZoRX3CMeao
;;;;;;2011-03-25 19:46:27+00:00;Bald machen Profs. zu ihrem Kurs ein Intro Video. Anregungen? Vgl. Video-Intro von Lady Gaga bei GoogleTalks: http://youtu.be/YZoRX3CMeao
;;;;;;2011-03-25 13:53:58+00:00;Toll, die Demo von 2nd Life - mit Fokus auf  Kollaboration - von @amertens zeigt sehr schön den Mehrwert gegenüber 2D virtuellen Räumen
;;;;;;2011-03-25 13:50:48+00:00;@liobanet Andreas Mertens ist Gastreferent an der #hsg und stellt 2ndLife vor, z.B. gerade ihr Notebook als Präsi-Controller
;;;;;;2011-03-25 05:56:39+00:00;Keynote slides on Future of LMS (pro social platforms) on slideshare, #eduhub11: http://slidesha.re/hP0O6b
;;;;;;2011-03-21 10:52:47+00:00;Our #eduhub11 Keynote will be a role play, a conversation criticizing and defending LMS. My role: Why do teachers cheat the LMS?
;;;;;;2011-03-21 08:31:17+00:00;Today's App economy does not have many checkmarks for Web 2.0 principles and design patterns: http://bit.ly/gsjToJ
;;;;;;2011-03-20 12:44:41+00:00;"Are you embracing the ""New Workstyle""? Mobile connectivity, virtual presence, online social circles. #e20: (http://bit.ly/ihVlpd)"
;;;;;;2011-03-20 09:22:15+00:00;"Steig ich jetzt ein? wg. iMovie, WebEx und G-Earth Apps - RT @MParekh:""Ten Apps That Show Off the iPad 2's New HW"" http://bit.ly/fUIRJJ"
;;;;;;2011-03-19 07:39:14+00:00;360 Grad Fotos mit einer App - gibt bestimmt viele Einsatzmöglichkeiten: http://bit.ly/a8IiUW
;;;;;;2011-03-18 07:03:02+00:00;Wann wird die #FAZ digital subscriptions anbieten, so wie die NYT? http://nyti.ms/gEnE9t  Mein Mail an Aboservice blieb unbeantwortet.
;;;;;;2011-03-17 09:15:26+00:00;"Mit einer Slideshare-Präsentation zu ""2-Tage-Ruhm"", und was das bringt: http://bit.ly/dKhabq #learningwaves"
;;;;;;2011-03-17 09:11:09+00:00;Kolumne: Schenken Sie lieber Vertrauen oder Lob, statt Anreizgeld, dann wechseln wir nicht von sozialen zu Marktnormen. http://bit.ly/faFQTN
;;;;;;2011-03-17 09:03:41+00:00;RT @AjitJaokar: Mobile World Congress – Ten under the radar trends you may have missed http://ow.ly/4gfkh #bishsg
;;;;;;2011-03-16 09:39:55+00:00;Web-Video macht Schule.  Nach DFG Science TV jetzt auch die Volkswagen Stiftung mit einem Video-Blog: http://bit.ly/fmJRqz
;;;;;;2011-03-16 08:22:18+00:00;Aktuelle Kolumne #learningwaves: Anreizgeld verdirbt das Verhalten und die Produktivität: http://bit.ly/gG3kh
;;;;;;2011-03-16 08:19:23+00:00;Beim Kurs Recherchieren in Fachdatenbanken sagt Dr. Weigel: Informationsflut - das sei eine Klage mit über hundertjähriger Tradition
;;;;;;2011-03-15 06:33:44+00:00;Da kommt eine Experten-Crew zu Social Media & Strategy zusammen, bei Altimeter, jetzt auch Brian Solis: http://rww.to/fRlxYa
;;;;;;2011-03-11 06:19:35+00:00;"Beitrag zum #wissenswert Blog Carnival ""Umgang mit Information Overload"". (M)ein innerer Gewerkschafter kämpf… (cont) http://deck.ly/~WPLXm"
;;;;;;2011-03-10 09:14:45+00:00;Dienste für Sprachenlernen im Web. AKtive Gründerszene im D-A-CH-Raum: http://bit.ly/hV118i
;;;;;;2011-03-10 08:08:00+00:00;"Must listen 4 Min. to Arianna Huffington #TED: A cool way for us women ""to sleep our way to the top"", literally http://bit.ly/gs5Byd"
;;;;;;2011-03-10 08:08:00+00:00;"Must listen 4 Min. to Arianna Huffington #TED: A cool way for us women ""to sleep our way to the top"", literally http://bit.ly/gs5Byd"
;;;;;;2011-03-10 08:03:31+00:00;Und Ihr Umgang mit der Infoflut? #wissenswert. Student O.K. ist ganz entspannt, er hat Tageszeitungs-Abos gekündigt: http://bit.ly/eVzlDC
;;;;;;2011-03-10 08:00:52+00:00;"Beiträge auf #wissenswert zu Information Overload: Für Student Jauphi  gehört Mind Mapping zur Überlebensstrategie;: http://bit.ly/eVzlDC"
;;;;;;2011-03-09 16:20:42+00:00;Evidence (U.S.) that Productivity is not a job killer, but creates jobs (McKinsey Quarterly: http://bit.ly/ih4KxN)
;;;;;;2011-03-08 09:55:33+00:00;Wie sag ich es (Enterprise 2.0) in meinem Unternehmen? RT @pi201: http://bit.ly/hPI1oz contribution to #e20 vs. #socbiz discussion
;;;;;;2011-03-08 09:23:02+00:00;Finger weg vom Ausdrucken (immer öfters jedenfalls): Das grüne PDF-Dateiformat -. Save as wwf, save a tree: http://bit.ly/faOCk1
;;;;;;2011-03-07 21:01:45+00:00;"Google Docs gibt Gas: PDFs hochladen und - durch OCR-Erkennung - bearbeiten; in vielen Sprachen: http://bit.ly/h8cwKJ"
;;;;;;2011-03-07 06:45:25+00:00;"Wie ist das bei Ihnen, schreiben Sie kurz dazu: ""Wie gehen wir mit dem Information Overload um?"": http://bit.ly/oQxM2 #wissenswert"
;;;;;;2011-03-03 14:32:40+00:00;Participate in the Design Contest of an icon set for university apps @99designs: http://99d.me/c/1gj7 #hsg @thfs
;;;;;;2011-03-01 12:59:45+00:00;Testen Sie Ihre Texte, nicht mit der Plagia-Metrie, sondern der BlaBla-Metrie: http://bit.ly/hwKQCX (Wieviel heisse Luft steckt drin?)
;;;;;;2011-02-28 19:17:22+00:00;Gute Idee: Twick.it: Mouse-over Glossar in Wikipedia-Machart, mit API: http://bit.ly/fgV5cj
;;;;;;2011-02-25 21:47:38+00:00;Check out this SlideShare doc: comScore 2010 Mobile Year in Review http://slidesha.re/hh8Js2 #bishsg
;;;;;;2011-02-25 21:17:25+00:00;"Die Freiheit der  digitalen ""streunenden"" Nomaden #netzwertig.com http://t.co/oyQEWea #bishsg"
;;;;;;2011-02-22 14:52:00+00:00;RT @slideshare: 'Idea Markets, Crowdsourcing und Open Innovation - Buzzwords oder Innov...' is featured on ou… (cont) http://deck.ly/~Xhz4c
;;;;;;2011-02-22 14:30:34+00:00;Quora: Is there a wiki application (template) for building glossaries to use in projec... Answer: http://qr.ae/gXtT
;;;;;;2011-02-22 14:18:04+00:00;RT @JoachimNiemeier: Wann Facebook und Xing den Job kosten - http://bit.ly/eUnTVR
;;;;;;2011-02-22 13:33:35+00:00;#wm2011 - SlideShare: Erfolgsmessung zum Einsatz von Social Software, #hsg, http://slidesha.re/h78o2u
;;;;;;2011-02-22 12:15:51+00:00;"Satz für jedes Reviewer-Formular: ""In the end, I want to be able to say: I  contributed more than I criticized."" http://bit.ly/hGdCne"
;;;;;;2011-02-21 08:39:00+00:00;Kolumne: Ich-Quadrat mit Hashable - Jetzt reichts, Social Media ! http://bit.ly/i7o7au, #LearningWaves
;;;;;;2011-02-18 09:25:13+00:00;@simbeckhampson Thanks for hint to this translate add-on to Firefox: http://bit.ly/fkp05o
;;;;;;2011-02-18 09:25:13+00:00;@simbeckhampson Thanks for hint to this translate add-on to Firefox: http://bit.ly/fkp05o
;;;;;;2011-02-18 09:21:59+00:00;Federer on Targets - Losses - Improvement - Proving Youreself- RT @MartinRaske: http://bit.ly/gsONBV - not a bad piece of training material
;;;;;;2011-02-18 09:13:15+00:00;"Erfolgsfaktoren für Social Media im Business, nicht nur Strategie und Prozess, sondern ""Sie übten zuvor"". Fina… (cont) http://deck.ly/~99HNF"
;;;;;;2011-02-15 07:02:44+00:00;FAZ titelt: Einstellungsvoraussetzung 250 Follower: http://bit.ly/7oM6E9.  Dann reichts bei mir ja für drei Jobs im Marketing :-)
;;;;;;2011-02-14 10:51:08+00:00;Tragen Sie Idee/n für eine coole Uni-App bei: 1000 SFR Prämie. Läuft bis 7.4. bei #Atizo. Sign-in und los gehts: http://bit.ly/fkVl6u
;;;;;;2011-02-12 20:00:47+00:00;Social Media and the end of gender: TED Talk - http://on.ted.com/8uk7
;;;;;;2011-02-11 12:51:16+00:00;Stille Revolution im Workplace Learning bzw. Smarter Work mit Social Media Skills. Einige Gedanken (2 Seiten): http://bit.ly/es7D8O
;;;;;;2011-02-09 21:10:23+00:00;Proud of 50+: Respect the value of wisdom: http://bit.ly/dJv5Bt
;;;;;;2011-02-09 18:57:37+00:00;Reading Leitfaden zur strukturierten Suche in Sozialen Medien on Scribd http://scr.bi/hN9je1 #readcast
;;;;;;2011-02-08 09:30:15+00:00;30+ Tools for building Mobile Apps: http://rww.to/fTZbeg
;;;;;;2011-02-08 09:27:48+00:00;Wenn Trigger - Dann Action. Dieser Dienst hat Potential für Enterprise-Anwendung, gefällt mir: iftt  http://bit.ly/ikoTd6
;;;;;;2011-02-07 17:57:10+00:00;Bundesverband Digitale Wirtschaft: 10 Thesen zu Social Media in 2011: http://bit.ly/fZ1Ijw
;;;;;;2011-01-29 11:50:31+00:00;Wow - gefällt mir: RT @jrobes: Qwiki - werden so künftig Informationen im Web dargestellt?  http://bit.ly/clrL3U
;;;;;;2011-01-29 11:32:42+00:00;Mobile AR is very overhyped: RT @Rhymo: Why So Many Augmented Reality Apps Fail in the Real World http://bit.ly/h55rxJ via @adage
;;;;;;2011-01-29 11:27:56+00:00;Digitalisierung wird nicht vom Menschen beherrscht, Digitalisierung geschieht? Faz.net: http://bit.ly/i8ULG8
;;;;;;2011-01-28 08:47:04+00:00;Nicht nur eLearning geht Richtung Microformate: Kurze eBooks, Amazon Singles, neu für den Kindle: http://bit.ly/dQrK2M
;;;;;;2011-01-20 17:40:25+00:00;Das Schweizer Messer (als Metapher) hat es in sich: http://bit.ly/dLYPjX. Beim The Visual Thinking Toolkit ist das Kreuz mit dabei
;;;;;;2011-01-20 17:33:49+00:00;"10 commandments for TED-style talks: http://bit.ly/tKtkm. Und Links zu Top-TED-Talks, die zeigen: jeder ""Style"" kann hervorragend sein."
;;;;;;2011-01-20 09:07:00+00:00;Nominiert für den D-Elina Innovationsaward: Unsere Mitmachzeitschrift #WissensWert: http://bit.ly/dOZjmw. Aktuelle Frage: Ihre eL-Trends?
;;;;;;2011-01-19 18:29:04+00:00;Welche Fallstudien zu 2.0-igen Anwendungen im Angebotserstellungsprozess sind bekannt? #e20cases (Web 1.x geht auch :-)) )
;;;;;;2011-01-19 18:29:04+00:00;Welche Fallstudien zu 2.0-igen Anwendungen im Angebotserstellungsprozess sind bekannt? #e20cases (Web 1.x geht auch :-)) )
;;;;;;2011-01-19 11:16:04+00:00;Wie wäre es mit einem Buch/PDF  auf Knopfdruck aus den eigenen Tweets? So geht's: http://tweetbook.in/ (via @sms2sms)
;;;;;;2011-01-17 21:36:31+00:00;"RT @jrobes: ich bin kein großer Fan von Nicholas Carr, aber der Beitrag ist lesenswert: ""Short is the new long"" http://bit.ly/e9s6w0"
;;;;;;2011-01-17 21:31:16+00:00;"Why we behave nicely in online conversations: ""The shadow of the future""- effect, etc.. Clay Shirky: http://bit.ly/gsSp7P"
;;;;;;2011-01-17 20:55:10+00:00;Procrastination-Fundstück: Best Tweets of Kanye West. Am Klavier gesungen: http://youtu.be/0Axzxe1a78E (via #qoura  http://b.qr.ae/i7URDC
;;;;;;2011-01-16 11:35:15+00:00;Was kommt nach dem Informationszeitalter? Das Interaktionszeitalter! Wort gesehen bei Milne, Educause: http://bit.ly/grrUWx #elearning
;;;;;;2011-01-15 22:47:55+00:00;Quora: Any warnings rg ComindWork (free plan 1 project, saas collaboration tool) for a... Answer: http://qr.ae/YRTD
;;;;;;2011-01-15 21:31:14+00:00;Quora: What are the distinctions between Social Business and Enterprise 2.0? 19 Answers: http://qr.ae/YXb5
;;;;;;2011-01-15 21:30:43+00:00;"Quora: If ""Enterprise 2.0"" and ""Social Business"" are the same concept, why did we ... 11 Answers: http://qr.ae/YXoW"
;;;;;;2011-01-14 12:08:31+00:00;"#FAZnet ""Die Berater sind ratlos"". Im Fazit heissts, das Feld Social Media & Business könnte die Berater ""retten"": http://bit.ly/e10obe"
;;;;;;2011-01-14 12:00:41+00:00;10-Finger-Tippen braucht man noch.  Testen Sie Ihre Schnelligkeit in Zeichen je 30sec): http://bit.ly/17czY2. Sohn lernt das in der Schule.
;;;;;;2011-01-14 07:37:25+00:00;Präsentation: Leitfaden Recherche nach Personen oder Produkten  im Sozialen Web: http://slidesha.re/hKqqoC (Information Broker 2.0)
;;;;;;2011-01-14 07:35:11+00:00;Schreiben Sie uns: Was sind Ihre E-Learning-Trends für 2011? http://bit.ly/oQxM2 - Jan-/Feb. Ausgabe Mitmachzeitschrift WissensWert
;;;;;;2011-01-14 07:26:19+00:00;Video-Tutorial: Know their Digital Footprint: Structured Search for People and Products: http://bit.ly/g7sIGY
;;;;;;2011-01-11 09:49:18+00:00;Useful stuff new in 2010: Products &Services, Projects, Feature Updates, and Mobile Apps: http://tcrn.ch/hcsBOp (via  #linkwertig)
;;;;;;2011-01-10 12:07:36+00:00;Die Proceedings der #ICIS 2010 Konferenz, St. Louis, sind online: http://bit.ly/gCwGt1 #patterns #social-media #collecitve-intelligence
;;;;;;2011-01-10 10:05:54+00:00;"RT @e_trude: So sollte es sein:-&gt; Microblogging statt Mailen – “Twittern” im Unternehmen http://bit.ly/g0YJZM #enterprise20 #e20"
;;;;;;2011-01-08 09:41:12+00:00;US-Investor Matt Cohler rät: Berlin statt Silicon Valley #netzwertig.com http://t.co/FXWMD4S
;;;;;;2011-01-05 09:50:27+00:00;Gute Systematisierung von Twitter Apps - wer noch ausbauen will: RT @briansolis Exploring the Twitterverse http://bit.ly/gsgEqR
;;;;;;2011-01-04 09:03:02+00:00;Wollen Sie Ihren CV mal anders gestalten? Ideen fürs Aus-der-Reihe-Tanzen hier: http://bit.ly/dlctbh
;;;;;;2011-01-04 09:03:02+00:00;Wollen Sie Ihren CV mal anders gestalten? Ideen fürs Aus-der-Reihe-Tanzen hier: http://bit.ly/dlctbh
;;;;;;2011-01-03 20:48:29+00:00;Managers and Meetings prevent productivity, not facebook, twitter etc.: TEDTalk Why Work doesn't happen at work http://bit.ly/dVhGKT (15min)
;;;;;;2011-01-03 06:21:22+00:00;RT @karrierebibel: Cool: Audi baut den größten QR-Code.... http://t.co/nUWAtxL
;;;;;;2011-01-02 15:10:15+00:00;Sammlung von iPad Tipps und Tricks: http://bit.ly/9Z1WcI
;;;;;;2011-01-01 22:14:11+00:00;Hot Spot mal anders - Simon's Cat: http://youtu.be/uOHvZjiDANg (mehr davon hier: http://bit.ly/10Qgrc)
;;;;;;2010-12-21 16:08:26+00:00;ebook zum Recruitment 2.0 (Social Recruitment) und zur Praxis in Schweizer Unternehmen: http://bit.ly/f9v2I7
;;;;;;2010-12-20 10:35:15+00:00;Kolumne: Mit E-Learning und ohne zu innerer Ruhe kommen: http://www.learningwaves.unisg.ch/  #learningwaves
;;;;;;2010-12-15 11:06:40+00:00;Recruitment 2.0 - Grundlagen und Empirische Studie zur Schweizer Unternehmenspraxis. Ein 60 Seiten Buch: http://bit.ly/hRYcnM oder Scribd
;;;;;;2010-12-15 10:21:34+00:00;@McKQuarterly #McKWeb2 Your Web 2.0 interactive feature seems not to load the 2010 data - the visual remains empty for the 2010 slider
;;;;;;2010-12-15 10:17:44+00:00;McKinsey veröffentlicht die 2010 Daten: Sie nennen es Social Web's enterprise applications bzw. Networked Enterprise  http://bit.ly/gSPmVU
;;;;;;2010-12-12 13:07:09+00:00;"Social Media customer feedback via webvideo: Song ""United Airlines breaks guitars"" http://youtu.be/5YGc4zOqozo and employees say No to ESTA"
;;;;;;2010-12-12 10:55:14+00:00;U.S. #esta #fail: Wenn D Pass von D-Botschaft, Bern, ausgestellt, was ist Ausstellungsland? Steht CH im Formular,  reist man nicht. Basta!
