web-scraper-order;Publikation (Autoren, Jahr, Titel, Journal/Konferenz)
1647018432-4196;"Wicki, Yvonne; Enkel, Ellen; Seufert, Andreas; Back, Andrea & von Krogh, Georg:
	Knowledge Network - Survey Findings (internal Paper).
	,
	2001,"
1647018432-4004;"Back, Andrea & Schacker, Maximilian:
	Digital Transformation Compass – A Guide to Management Methods and Tools in Digital Transformation Initiatives (Proposal of Future Work).
	2019.
	- Organizing in the Era of Digital Technology.
	- Monte Verità, Switzerland."
1647018432-4244;"Back, Andrea & Grüttner, Arne:
	„Die Kinder üben eine Denkhaltung“.
    In: Personalwirtschaft - Das Magazin für den Job HR: Alter! So fördern und nutzen Sie die Talente erfahrener Mitarbeiter
    01/2020    
    (2020),
    
    S. 56-58."
1647018432-4141;"Back, Andrea:
	Entscheidungsunterstützungssysteme.
    	In  
    	Küpper, Hans-Ulrich & Wagenhofer, Alfred (ed.): 
    	Handwörterbuch Unternehmensrechnung und Controlling. 
	Stuttgart :
	Schäffer-Poeschel,
	2002,
	S. 370-374."
1647018432-4130;"Enkel, Ellen; Gurgul, Grzegorz & Rumyantseva, Maria:
	A methodology for adapting Knowledge Networks - managerial guidelines.
    	In  
    	Vonkrogh, Georg; Back, Andrea & Enkel, Ellen (ed.): 
    	Knowledge Networks for Business Growth. 
	Berlin :
	Springer,
	2007,
	S. 99-163."
1647018432-3916;"Berghaus, Sabine; Sammer, Thomas; Brechbühl, Hans & Back, Andrea
 	(2014)
	Balancing Innovation and Operations: Opportunities and Challenges of Second Generation Enterprise Mobility.
	The journal of management systems,
	24
	(3).
	31-44.
	ISSN 1041-2808"
1647018432-3942;"Back, Andrea
 	(2009)
	Corporate E-Learning: Disruptive Innovation auf der Überholspur?
	IT-Business,
	
	(1).
	23-24.
	ISSN 1616-3532"
1647018432-4047;"Friedel, Dominik; Back, Andrea & Wieland, Ralf:
	Wie weit und bereit sind Unternehmen mit Enterprise 2.0 - Ergebnisse einer Reifegradstudie im deutschsprachigen Raum.
	2011.
	- 13. KnowTech 2011.
	- Bad Homburg."
1647018432-4333;"Back, Andrea:
	Unterwegs auf der Formel1-Rennstrecke der E-Learning-Innovationen.
	Zukunft E-Learning: E-Learning-Strategie und didaktische Implikationen.
	Universität Innsbruck,
	4 December 2006."
1647018432-4046;"Schoenenberg, Robin & Back, Andrea:
	Einsatzmöglichkeiten von Virtual Private Workspace.
	2012.
	- Multikonferenz der Wirtschaftsinformatik (MKWI) 2012.
	- Braunschweig."
1647018432-3921;"Back, Andrea; Reinmann, Gabi & Baumgartner, Peter
 	(2014)
	Editorial: Erste Ausgabe von iTeL.
	Interdisziplinäre Zeitschrift für Technologie und Lernen (iTeL),
	
	(1).
	3-5."
1647018432-4110;"Sammer, Thomas & Walter, Thomas:
	Das mobile Web 2.0 im Unternehmen.
    	In  
    	Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (ed.): 
    	Web 2.0 und Social Media in der Unternehmenspraxis : Grundlagen, Anwendungen und Methoden mit zahlreichen Fallstudien. 
	München :
	Oldenbourg,
	2012,
	S. 91-100."
1647018432-4262;"Back, Andrea:
	Hürden gibt es nur im Kopf - Schweizer Unternehmen mit Vorsprung auf dem Weg zur Enterprise 2.0.
	Swiss eEconomy Forum.
	Bern,
	5 March 2012."
1647018432-4235;"Berghaus, Sabine & Back, Andrea:
	Rollen, Prozesse und Führung in der Digitalen Transformation: Ratgeber und Fallstudien zur Strategiearbeit für das digitale Zeitalter (Teil 2).
	
	T-Systems Multimedia Solutions GmbH,
	2016."
1647018432-4064;"Back, Andrea:
	Open (e-)Cooperation - Ein Erfahrungsbericht zu Formen der Zusammenarbeit von Hochschullehre und Unternehmenspraxis.
	2010.
	- GML2 2010.
	- Berlin."
1647018432-4368;"Back, Andrea:
	Strategische Ausrichtung von E-Learning.
	KMU-Wissen: Weiterbildung Online.
	Kassel,
	1 October 2003."
1647018432-4314;"Back, Andrea:
	Web 2.0 und Social Media im Unternehmenskontext: Einführung mit Erklärungen und Beispielen für Einsteiger.
	Focus on social media.
	Europäisches Patentamt, München,
	3 March 2009."
1647018432-4283;"Back, Andrea:
	Social Media Update: Objectives and Trends.
	International Key Account Manager Workshop, Bayer Business Services.
	Leverkusen,
	25 October 2010."
1647018432-3974;"Back, Andrea
 	(1998)
	Computeranalphabet trotz PC-Führerschein?
	IBM uptodate,
	
	(5).
	2-3."
1647018432-4311;"Back, Andrea:
	Web-based Open Innovation - ""What‘s Your Strategy for Creating Knowledge, Products, and Services with Online Communities?"".
	4. SWISS KM Tool Day.
	Rüeschlikon,
	19 March 2009."
1647018432-4095;"Peter, Lukas; Back, Andrea & Werro, Tina:
	Collaboration Between Corporations and Startups: The Startup-Collaboration-Model.
    	In  
    	 
    	Ecosystem Innovation: How to create successful partnerships between high-growth startups and established organizations. 
	Zürich :
	Kickstart Innovation AG,
	2019,
	S. 80-87."
1647018432-4125;"Enkel, Ellen; Rumyantseva, Maria & Gurgul, Grzegorz:
	Integrated Performance Measurement System for Knowledge Networks for Growth.
    	In  
    	Vonkrogh, Georg; Back, Andrea & Enkel, Ellen (ed.): 
    	Knowledge Networks for Business Growth. 
	Berlin :
	Springer,
	2007,
	S. 165-189."
1647018432-4324;"Back, Andrea:
	Einführung in das Thema.
	Seminar ""Weblogs, Wikis, Podcasts & Co. - Wissenstransfer der nächsten Generation"".
	Berlin,
	25 October 2007."
1647018432-4151;"Back, Andrea; Seufert, Andreas & von Krogh, G.:
	Wissensnetzwerke: Vision - Referenzmodell - Archetypen und Fallbeispiele.
    	In  
    	 
    	Wissensmanagement : zwischen Wissen und Nichtwissen. 
	München und Mering :
	Rainer Hampp,
	1999,
	S. 133-156."
1647018432-4243;"Grüttner, Arne & Back, Andrea:
	Digital-Entrepreneurship-Werkstatt:
Ein Start-up Baukasten für das Klassenzimmer.
    In: bildung+ schule digital
    05/2020    
    (2020),
    
    S. 24-28."
1647018432-3983;"Back, Andrea
 	(1997)
	Bildung für das Verständnis von Informations- und Kommunikationstechnik (IuK) - IuK für die Ausbildung.
	Schweizerische Zeitschrift für kaufmännisches Bildungswesen,
	Vol. 91
	(5).
	323-343."
1647018432-4345;"Back, Andrea:
	Return on E-Learning Investment.
	3. E-Learning Tagung der Medizinischen Fakultät der Universität Zürich.
	Zürich,
	4 March 2005."
1647018432-4074;"Mayrhofer, David & Back, Andrea:
	Classification of IS Functionalities for Workplace E-Collaboration.
	2004.
	- 14th Information Resource Management Association International Conference (IRMA).
	- Philadelphia, PA."
1647018432-4157;"Josef, Barbara; Sapegina, Anastasia; Back, Andrea & Weibel, Antoinette:
	Coworking aus Unternehmenssicht II: Out of Office – into the Flow?
	St.Gallen :
	IWI-HSG & FAA-HSG, Universität St.Gallen,
	2019."
1647018432-3913;"Silic, Mario; Back, Andrea & Silic, Dario
 	(2015)
	Taxonomy of technological risks of open source software in the enterprise adoption context.
	Information & Computer Security,
	23
	(5).
	570-583.
	ISSN 2056-4961"
1647018432-4003;"Grüttner, Arne; Vitisvorakarn, Min; Wambsganss, Thiemo; Rietsche, Roman & Back, Andrea:
	The New Window to Athlete’s Soul – What Social Media Tells Us About Athletes’ Performances.
	2020.
	- Hawaii International Conference on System Sciences (HICSS).
	- Maui, Hawaii, USA."
1647018432-4186;"Bendel, Oliver; Leithner, Barbara; Keller, Miriam & Back, Andrea:
	Lernen im Medienverbund: Nachhaltigkeit von Aus- und Weiterbildung der Polizei BaWü.
	Arbeitsberichte des Learning Center der Universität St. Gallen,
	2003,
	2/2003."
1647018432-3923;"Silic, Mario; Back, Andrea & Sammer, Thomas
 	(2014)
	Employee Acceptance and Use of Unified Communications and Collaboration in a Cross-Cultural Environment.
	International Journal of e-Collaboration,
	10
	(2).
	1-19.
	ISSN 1548-3673"
1647018432-4107;"Friedel, Dominik & Back, Andrea:
	Bestimmung des Enterprise-2.0-Entwicklungsstands mit einem Reifegradmodell.
    	In  
    	Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (ed.): 
    	Web 2.0 und Social Media in der Unternehmenspraxis : Grundlagen, Anwendungen und Methoden mit zahlreichen Fallstudien. 
	München :
	Oldenbourg,
	2012,
	S. 102-108."
1647018432-4124;"Back, Andrea & Keller, Miriam:
	Gestaltung eines Blended-Learning-Szenarios vor dem Hintergrund der Unterstützung einer neuen Lernkultur in Unternehmen.
    	In  
    	Blum, Ulrich; Eckstein, Andrea & Eckstein, Andreas (ed.): 
    	Wirtschaftsinformatik im Fokus der modernen Wissensökonomik: Netzwerkökonomie und Electronic Business, Electronic Learning, Systementwicklung und Modellierung; Festschrift für Prof.Dr.Dr.h.c. Wolfgang Uhr. 
	Dresden :
	TUDpress,
	2007,
	S. 227-243."
1647018432-4035;"Sammer, Thomas; Vögeli, Sandro & Back, Andrea:
	Success and Failure: Two Longitudinal Case Studies on Media-Tablet Usage in CRM.
	2013.
	- 12th International Conference on Mobile Business (ICMB).
	- Berlin."
1647018432-3959;"Back, Andrea & Bursian, Olaf
 	(2003)
	Managerial aspects of corporate e-Learning: insights from a study of four cases.
	Studies in Communications Sciences, Special Issue ""New Media in Education"",
	
	(March).
	1-22."
1647018432-4227;"Vassiliadis, Stefanos; Wicki, Yvonne; Seufert, Andreas; von Krogh, G. & Back, Andrea:
	Knowledge Networks: Linking Knowledge Management to Business Strategy.
	,
	1999,"
1647018432-4152;"Back, Andrea; Rieger, B. & Seufert, Andreas:
	Executive Information Systems.
    	In  
    	Mertens, P. et. al. (ed.): 
    	Lexikon der Wirtschaftsinformatik. 
	Springer :
	Berlin et al.,
	1997,
	S. 157-158."
1647018432-4241;"Back, Andrea & Friedel, Dominik:
	Enterprise 2.0 - Nutzung & Handlungsbedarf im innerbetrieblichen, B2B und B2C Kontext.
	Zollikofen :
	T-Systems Schweiz AG,
	2011."
1647018432-3917;"Rennhard, Yannick & Back, Andrea
 	(2014)
	Mediennutzung in der Projektkommunikation von Studierenden - Analyse dreier Praxisprojekte unter besonderer Berücksichtigung der Kollaborationsplattform MavenLink.
	Interdisziplinäre Zeitschrift für Technologie und Lernen : iTeL,
	1
	(1).
	36-49.
	ISSN http://www.itel-journal.org/wp-content/uploads/2016/01/7-75-2-PB.pdf"
1647018432-3975;"Schuh, G.; Back, Andrea; Friedli, T. & Seufert, Sabine
 	(1998)
	2005: Virtuelle Universitäten auf dem Vormarsch.
	Thexis-Sonderheft Management Szenarien 2005,
	Vol. 15
	(Nr. 2).
	130-131."
1647018432-3997;"Back, Andrea
 	(1994)
	Ein Modell zur Kalkulation der Kosten je Absolvent.
	ZfB-Sonderheft,
	
	(64).
	297-310."
1647018432-4113;"Cervellieri, Adrian; Buchli, Reto & Back, Andrea:
	Wissens-Wiki im IT-Betrieb und Notfall-Management bei der SFS services AG.
    	In  
    	Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (ed.): 
    	Web 2.0 und Social Media in der Unternehmenspraxis : Grundlagen, Anwendungen und Methoden mit zahlreichen Fallstudien. 
	München :
	Oldenbourg,
	2012,
	S. 273-282."
1647018432-3994;"Back, Andrea
 	(1995)
	Interview mit Mark C. Turrell: ""Groupware should be widely deployed"".
	Informatik/Informatique,
	
	(6).
	29-30."
1647018432-4336;"Back, Andrea:
	Impulsvortrag ""Persönliche Wissensarbeit"".
	SKMF-Herbstevent 2006.
	Merlischachen,
	14 September 2006."
1647018432-4019;"Ruf, Christian & Back, Andrea:
	How Can We Design Products, Services, and Software That Reflect the Needs of Our Stakeholders? : Towards a Canvas for Successful Requirements Engineering.
	2015.
	- 10th International Conference, DESRIST 2015.
	- Dublin, Clontarf."
1647018432-3972;"Seufert, Andreas; von Krogh, G. & Back, Andrea
 	(1999)
	Towards knowledge networking.
	Journal of Knowledge Management,
	
	(No. 3).
	180-190."
1647018432-4255;"Back, Andrea:
	Teamarbeit 2.0: Global - zeitgemäss - kompetent.
	DATEV-Kongress 2012.
	Nürnberg,
	20 July 2012."
1647018432-4372;"Back, Andrea:
	E-Meetings im Überblick: Eine Einführung.
	E-Meetings in die Arbeits- und Lernkultur integrieren, Seminar Learning Center.
	Horgen bei Zürich,
	8 May 2003."
1647018432-3938;"Back, Andrea
 	(2009)
	Die Öffnung des Innovationsprozesses.
	wirtschaftsmagazin,
	
	(11).
	9-11."
1647018432-3952;"Mayrhofer, David; Heilmeier, Peter; Nirankari, Ravi & Back, Andrea
 	(2005)
	Knowledge Management in Challenging Settings - A Case of Military Aircraft.
	J.UKM: Universal Journal of Knowledge Management,
	
	(1).
	29-38."
1647018432-4265;"Back, Andrea:
	Ich bin drin - im Web 2.0! Meine Arbeitspraxis 2.0.
	Tag der Informatik an der Christian-Albrechts-Universität Kiel.
	Kiel,
	2 December 2011."
1647018432-4340;"Back, Andrea:
	E-Learning im Unternehmen.
	CIO-Meeting.
	Zürich,
	6 March 2006."
1647018432-4233;"Back, Andrea & Seufert, Andreas:
	State of the Art des Management Supports Teil 2: Neuere Management Support Ansätze.
	,
	1997,"
1647018432-4384;"Back, Andrea:
	eCollaboration.
	Kernprogramm Information Management, EMBA an der Universität Zürich.
	Universität Zürich,
	13 March 2002."
1647018432-4234;"Back, Andrea; Bauknecht, K.; Morger, O. & Tjoa, A.:
	Computer Supported Cooperative Work im Fokus des Bankensektors.
	,
	1997,"
1647018432-4076;"Mayrhofer, David & Back, Andrea:
	Workplace e-collaboration in Practice - Identifying preconditions for successfully implementing e-collaboration in organizations.
	2003.
	- 14th Information Resource Management Association International Conference (IRMA03).
	- Philadelphia, PA."
1647018432-4232;"Back, Andrea & Seufert, Andreas:
	State of the Art des Management Supports Teil 1: Klassische Management Support Ansätze.
	,
	1997,"
1647018432-4108;"Walter, Thomas:
	Crowdsourcing-Plattformen.
    	In  
    	Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (ed.): 
    	Web 2.0 und Social Media in der Unternehmenspraxis : Grundlagen, Anwendungen und Methoden mit zahlreichen Fallstudien. 
	München :
	Oldenbourg,
	2012,
	S. 73-82."
1647018432-4373;"Back, Andrea:
	Zwischen Euphorie und Ernüchterung: Wie entwickelt sich Collaborative Communication via Intranet und Extranet.
	e-Education.
	Luzern,
	1 May 2003."
1647018432-4005;"Josef, Barbara & Back, Andrea:
	Coworking as a New Innovation Scenario from the Perspective of Mature Organisations.
	2018."
1647018432-4220;"Köhne, M.; Enkel, Ellen; Seufert, Andreas; Back, Andrea & Vonkrogh, Georg:
	Development Aspects and Supportive Factors in Knowledge Networks.
	KnowledgeSource of St. Gallen,
	2000,
	BE HSG/IWI No 18."
1647018432-3893;"Lötscher, Julia & Back, Andrea
 	(2020)
	Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?
	Wirtschaftsinformatik & Management,
	12
	(Juni).
	158-167.
	ISSN 1867-5905"
1647018432-3943;"Heidecke, Florian & Back, Andrea
 	(2009)
	A Reference Model for E-Collaboration within the Dispersed Sales Force Training Process in Multinational Companies.
	International Journal of e-Collaboration,
	5
	(1).
	32-46.
	ISSN 1548-3673"
1647018432-4060;"Walter, Thomas & Back, Andrea:
	Crowdsourcing as a Business Model: An exploration of emergent textbooks harnessing the wisdom of crowds.
	2010.
	- 23rd Bled eConference ""eTrust: Implications for the Individual, Enterprises and Society"".
	- Bled, Slovenia."
1647018432-4280;"Back, Andrea:
	Do LMS have a Future? A conversation between criticism and defence of today's LMS.
	Eduhub days 2011.
	Lugano,
	23 March 2011."
1647018432-4325;"Back, Andrea & Haentschel-erhart, Irene:
	Praxisberichte aus dem Competence Network Business 2.0.
	Seminar ""Weblogs, Wikis, Podcasts & Co. - Wissenstransfer der nächsten Generation"".
	Berlin,
	25 October 2007."
1647018432-3953;"Heidecke, Florian; Back, Andrea & Brenner, Walter
 	(2005)
	Dissertationserhebung in der Wirtschaftsinformatik 2004.
	Wirtschaftsinformatik,
	47
	(3).
	228-230.
	ISSN 0937-6429"
1647018432-4053;"Back, Andrea & Haager, Christopher:
	Assessing Degrees of Web-2.0-ness: Model and Results for Product Websites in the Pharma-Industry.
	2011.
	- 24th Bled eConference ""eFuture Creating Solutions for the Individual, Organisations and Society"".
	- Bled, Slovenia."
1647018432-4109;"Friedel, Dominik & Back, Andrea:
	Das St. Galler Enterprise-2.0-Methodenset - Ein Ansatz zum organisatorischen Wandel.
    	In  
    	Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (ed.): 
    	Web 2.0 und Social Media in der Unternehmenspraxis : Grundlagen, Anwendungen und Methoden mit zahlreichen Fallstudien. 
	München :
	Oldenbourg,
	2012,
	S. 108-115."
1647018432-4022;"Ruf, Christian; Back, Andrea & Wittmann, Matthias:
	Is an App Better than an Email? Developing Trust in a Mobile Financial Advisory Service : Design and Evaluation of a Prototype.
	2015.
	- 12. Internationale Tagung Wirtschaftsinformatik (WI 2015) : Smart Enterprise  Engineering.
	- Osnabrück, Germany."
1647018432-4127;"Rumyantseva, Maria; Enkel, Ellen & Pos, A.:
	Supporting Growth through Innovation Networks in Unilever.
    	In  
    	Back, Andrea; Enkel, Ellen & Vonkrogh, Georg (ed.): 
    	Knowledge Networks for Business Growth. 
	Berlin :
	Springer,
	2007,
	S. 77-97."
1647018432-4014;"Silic, Mario & Back, Andrea:
	Deterrent Effects of Warnings on User’s Behavior in Preventing Malicious
Software Use.
	2017.
	- 50th Hawaii International Conference on Sciences (HICSS).
	- Waikoloa, Hawaii."
1647018432-4323;"Back, Andrea:
	Wikis, Blogs & Co. - neue Kommunikations- und Organisationsformen im Gesundheitswesen.
	Web 2.0 und eLearning.
	Charite - Universitätsmedizin Berlin,
	6 November 2007."
1647018432-4268;"Back, Andrea & Haager, Christoph:
	Assessing Degrees of Web-2.0-ness: Model and Results for Product Websites in the Pharma-Industry.
	24th Bled eConference.
	Bled,
	14 June 2011."
1647018432-4067;"Seidel, Gunter & Back, Andrea:
	Success Factor Validation for Global ERP Programmes.
	2009.
	- 17th European Conference on Information Systems (ECIS) 2009.
	- Verona."
1647018432-4087;"Back, Andrea; Enkel, Ellen & Vonkrogh, Georg (ed.) 
    	: 
	Knowledge Networks for Business Growth.
	
	Berlin :
	Springer,
	2006,
	DOI:10.1007/978-3-540-33073-8.
	- ISBN 3-540-33072-0."
1647018432-3991;"Back, Andrea
 	(1995)
	Entwicklungen im Markt und in Anwendungsfeldern von Groupware.
	Informatik/Informatique,
	Vol. 2
	(6).
	4-7."
1647018432-4043;"Friedel, Dominik & Back, Andrea:
	Determination of Enterprise 2.0 Development Levels with a Maturity Model.
	2012.
	- IADIS Multi Conference on Computer Science and Information Systems (MCCSIS 2012).
	- Lisbon."
1647018432-4118;"Heidecke, Florian:
	Newsfeeds und Newsaggregatoren.
    	In  
    	Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (ed.): 
    	Web 2.0 in der Unternehmenspraxis : Grundlagen, Fallstudien und Trends zum Einsatz von Social Software. 
	München :
	Oldenbourg,
	2008,
	S. 57-63."
1647018432-4208;"Enkel, Ellen; Raimann, Joerg; Seufert, Andreas; Vassiliadis, Stefanos; Wicki, Yvonne; Back, Andrea & von Krogh, G.:
	MERLIN - Materializing, Experiencing, Refining and Learning in Knowledge Networks.
	,
	2000,"
1647018432-4017;"Ruf, Christian; Back, Andrea & Weidenfeld, Henk Andreas:
	Designing Tablet Banking Apps for High-Net-Worth Individuals : Specifying Customer Requirements with Prototyping.
	2015.
	- The 28th Bled eConference ""#eWellbeing"".
	- Bled, Slovenia."
1647018432-4402;"Back, Andrea:
	Neue Aspekte des Informationsmanagements.
	Neue Aspekte des Informationsmanagements, Workshop Wissensmanagement: Wege in die Wissensgesellschaft.
	München,
	9 November 2000."
1647018432-3891;"Marheine, Christian; Engel, Christian & Back, Andrea
 	(2021)
	How an Incumbent Telecoms Operator Became an IoT Ecosystem Orchestrator.
	MIS Quarterly Executive,
	20
	(4).
	297-314.
	ISSN 1540-1960"
1647018432-4335;"Back, Andrea:
	eLearning 2.0: Web-Architekturen des Mitwirkens laden Sie ein.
	eLearning an der LFUI - Rückblick und Ausblick.
	Innsbruck,
	28 September 2006."
1647018432-4111;"Back, Andrea; Fuellemann, Peter & Jastrowski, Wolfgang:
	Projektmanagement bei verteilten Teams mit Jive-Gruppen im Swiss Re Ourspace.
    	In  
    	Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (ed.): 
    	Web 2.0 und Social Media in der Unternehmenspraxis : Grundlagen, Anwendungen und Methoden mit zahlreichen Fallstudien. 
	München :
	Oldenbourg,
	2012,
	S. 293-301."
1647018432-3977;"Back, Andrea & Seufert, Andreas
 	(1998)
	Kanzleiinformationssystem: Groupware-basiertes Wissensmanagement in Wirtschaftsprüfungs- und Steuerberatungskanzleien.
	Datenverarbeitung-Steuer-Wirtschaft-Recht,
	Vol. 28
	(3).
	72-76."
1647018432-4391;"Back, Andrea:
	e-Welt: Wissensmanagement.
	SKU Fokus Seminare: Elemente der ganzheitlichen Unternehmensführung.
	Brunnen,
	3 October 2001."
1647018432-3946;"Hain, Stefanie & Back, Andrea
 	(2008)
	Personal Learning Journal - Course Design for Using Weblogs in Higher Education.
	Electronic Journal of e-Learning - EJEL,
	6
	(3).
	189-196.
	ISSN 1479-4403"
1647018432-4369;"Back, Andrea:
	Vom Wissensmanagement zum Wissensnetzwerk.
	Kongress ""lernlandschaften"".
	Freiburg,
	1 October 2003."
1647018432-4147;"Back, Andrea & Seufert, Andreas:
	Executive Information System (EIS).
    	In  
    	Mertens, Peter & Back, Andrea (ed.): 
    	Lexikon der Wirtschaftsinformatik. 
	Berlin :
	Springer,
	2001,
	S. 192-193."
1647018432-4278;"Back, Andrea:
	Videobasiertes Workplace Learning - Auf dem Siegeszug 2.0.
	Swiss eLearning Conference.
	Zürich,
	6 April 2011."
1647018432-4429;"Back, Andrea:
	Teamzentrierte Lernumgebungen: Beispiele und Erfahrungen mit Lehrveranstaltungen an der Universität St. Gallen.
	CHIP '98.
	St. Gallen,
	23 January 1998."
1647018432-3897;"Peter, Lukas; Back, Andrea & Werro, Tina
 	(2019)
	Conceptual framework for collaborative open innovation with a startup ecosystem.
	Innovation in the Digital Economy,
	11
	(1).
	
	ISSN 1947-8305"
1647018432-3958;"Mayrhofer, David & Back, Andrea
 	(2003)
	E-Meetings in Europa: State-of-the-art und Zukunftstrends.
	Bulletin,
	
	(5).
	36-37."
1647018432-4086;"Back, Andrea; von Krogh, Georg; Seufert, Andreas & Enkel, Ellen (ed.) 
    	: 
	Getting real about knowledge networks : unlocking corporate knowledge assets.
	
	Basingstoke, UK :
	Palgrave Macmillan,
	2006,
	
	- ISBN 978-1-4039-0058-6."
1647018432-3955;"Ammann Schoch, Regina; Back, Andrea; Kunert, Karsten & Tresch, Markus
 	(2004)
	Wissensmanagement strategisch verankern.
	Wissensmanagement : das Magazin für Führungskräfte,
	6
	(3).
	20-22.
	ISSN 1438-4426"
1647018432-4344;"Back, Andrea:
	Das interne Geschäftsmodell für betriebliche Bildung - Herausforderungen und Entwicklungstendenzen.
	6. CCEC-Workshop ""Geschäftsmodelle im E-Learning"".
	Bochum,
	29 June 2005."
1647018432-3927;"Back, Andrea & Irmler, Peter
 	(2012)
	Implementing a Classification Scheme for Enterprise 2.0.
	Information Technology : it,
	54
	(5).
	220-227.
	ISSN 0944-2774"
1647018432-4374;"Back, Andrea:
	E-Learning im Unternehmen: Vom Kursprojekt zum Reengineering der Bildungsprozesse.
	4. BIBB-Fachkongress 2002.
	Berlin,
	24 October 2002."
1647018432-3987;"Back, Andrea & Schubert, P.
 	(1996)
	Groupwarebasierter Help-Desk für Informatikprobleme: eine Applikation unter Lotus Notes an der Universität St. Gallen.
	HMD: Praxis der Wirtschaftsinformatik,
	Vol. 33
	(189).
	54-63."
1647018432-4292;"Back, Andrea:
	Silo-Breaking through Open (e-)Cooperation - Zusammenarbeit von Hochschullehre und Unternehmenspraxis.
	GML 2010.
	Berlin,
	11 March 2010."
1647018432-4357;"Back, Andrea:
	E-Learning Balanced Scorecard.
	5. IT-Kongress der Know How! AG.
	Stuttgart,
	23 March 2004."
1647018432-4088;"Back, Andrea; von Krogh, Georg; Seufert, Andreas & Enkel, Ellen (ed.) 
    	: 
	Putting Knowledge Networks into Action: Methodology, Development, Maintenance.
	
	Berlin :
	Springer,
	2005,
	DOI:10.1007/b138845.
	- ISBN 3-540-40574-7."
1647018432-4146;"Bendel, Oliver & Stoller-Schai, Daniel:
	E-Learning.
    	In  
    	Mertens, Peter & Back, Andrea (ed.): 
    	Lexikon der Wirtschaftsinformatik. 
	Berlin :
	Springer,
	2001,
	S. 164-165."
1647018432-4263;"Back, Andrea:
	Barrieren am Weg zum Mobile Contactless Payment Eine Marktanalyse und Bestandsaufnahme der Situation in der Schweiz.
	MKWI 2012.
	Braunschweig,
	1 March 2012."
1647018432-4254;"Back, Andrea:
	Social Media: What is Social Media and how will Social Media change our future working environment.
	Workshop Zurich Insurance Company.
	Zürich,
	20 August 2012."
1647018432-4330;"Back, Andrea:
	Lerntagebuch als Weblog innovativ umgesetzt.
	HDZ'mittag.
	St. Gallen,
	8 February 2007."
1647018432-4306;"Back, Andrea:
	Enterprise Work 2.0: So arbeiten Profis im Netz - und ich?
	Donna Informatica - Last Monday.
	Zürich,
	29 July 2009."
1647018432-4012;"Silic, Mario & Back, Andrea:
	Impact of Gamification on User’s Knowledge-Sharing Practices:Relationships between Work Motivation, Performance Expectancy and Work Engagement.
	2017.
	- 50th Hawaii International Conference on Sciences (HICSS).
	- Waikoloa, Hawaii."
1647018432-4153;"Back, Andrea & Weiser, Christian:
	Telelernen.
    	In  
    	 
    	Lexikon der Wirtschaftsinformatik. 
	Berlin et al. :
	Springer,
	1997,
	S. 404-405."
1647018432-4291;"Back, Andrea:
	Web-Video zur Wissenskommunikation.
	OpenSpace an der Swiss eLearning Conference.
	Zürich,
	13 April 2010."
1647018432-4182;"Mayrhofer, David; Back, Andrea & Hubschmid, Roger:
	Web-Conferencing Software Tools: Evaluierung der Marktführer.
	Mayrhofer, David; Back, Andrea; Hubschmid, Roger,
	2004,
	1/2004."
1647018432-4276;"Back, Andrea:
	Social Media im Unternehmenskontext und in der Arbeit.
	EMBE-Modul 9.
	St. Gallen,
	23 May 2011."
1647018432-4419;"Back, Andrea:
	Groupware im Kontext problemorientierter Computing Workspaces.
	Executive Study Program Master of Business Engineering.
	St. Gallen,
	11 January 1999."
1647018432-4221;"Seufert, Andreas; Back, Andrea & von Krogh, G.:
	Towards a Reference Model for Knowledge Networking.
	,
	1999,"
1647018432-3898;"Peter, Lukas; Back, Andrea & Werro, Tina
 	(2019)
	Practical Implications On How Established Companies Innovate With Startups: Tools and Guidelines for Innovation Managers.
	
	
	
	
	ISSN 2577-4972"
1647018432-4428;"Back, Andrea & Seufert, Andreas:
	The Knowledge Creation Company: Strategisches Management & IKT.
	Seminar Wissensmanagement: Technologische Potentiale, organisatorische Anforderungen und Erfahrungen.
	Zürich,
	16 April 1998."
1647018432-4327;"Back, Andrea:
	Sind Sie up-to-date? Übersicht über moderne Kommunikationsmittel und ihre praktische Anwendung.
	Akte 07 Symposium Know-how Transfer und angwandtes E-Learning im öffentlichen Dienst.
	Winterthur,
	10 May 2007."
1647018432-4156;"Back, Andrea:
	Implementierung und Nutzung der Prozesskostenrechnung.
    	In  
    	Maennel, W. (ed.): 
    	Prozesskostenrechnung : Bedeutung - Methoden - Branchenerfahrungen - Softwarelösungen. 
	Gabler :
	Wiesbaden,
	1995,
	S. 37-39."
1647018432-4360;"Back, Andrea:
	St.Galler Referenzmodell: Strategie und Methoden für Lernprozesse.
	Opening 2004 der e/t/s didactic media im Rahmen der Learntec.
	Karlsruhe,
	10 February 2004."
