Gde-Nr.;PLZ;Gemeinde
6293;3922;Stalden (VS)
2571;4618;Boningen
4138;5725;Leutwil
4161;5074;Eiken
3832;6537;Grono
990;3380;Walliswil bei Niederbipp
995;4537;Wiedlisbach
336;4919;Reisiswil
323;4913;Bannwil
411;3309;Kernenried
543;3322;Mattstetten
2337;1699;Le Flon
2284;1788;Mont-Vully
2233;1725;Hauterive (FR)
2152;1626;Sâles
6435;2405;La Chaux-du-Milieu
2044;1528;Surpierre
4711;9556;Affeltrangen
2547;4524;Günsberg
743;2560;Nidau
5919;1438;Mathod
5622;1121;Bremblens
5934;1412;Valeyres-sous-Ursins
5669;1521;Curtilles
5939;1462;Yvonand
5709;1275;Chéserex
5563;1428;Mutrux
5912;1415;Démoret
5929;1433;Suchy
5487;1307;Lussery-Villars
5604;1072;Forel (Lavaux)
5889;1814;La Tour-de-Peilz
5805;1607;Oron
5412;1847;Rennaz
5500;1141;Sévery
5136;6662;Onsernone
5398;6571;Gambarogno
6102;3955;Albinen
6119;3948;Turtmann-Unterems
4062;8965;Berikon
246;8955;Oetwil an der Limmat
211;8479;Altikon
248;8142;Uitikon
242;8903;Birmensdorf (ZH)
7;8934;Knonau
8;8933;Maschwanden
24;8414;Buch am Irchel
292;8468;Stammheim
221;8442;Hettlingen
298;8542;Wiesendangen
197;8603;Schwerzenbach
160;8126;Zumikon
5724;1260;Nyon
5257;6834;Morbio Inferiore
35;8460;Marthalen
6076;3988;Obergoms
1323;8832;Wollerau
2936;8232;Merishausen
2973;8219;Trasadingen
5755;1357;Lignerolle
191;8600;Dübendorf
3253;9437;Marbach (SG)
5203;6922;Morcote
5161;6936;Cademario
5233;6921;Vico Morcote
5225;6924;Sorengo
2856;4466;Ormalingen
2518;4554;Etziken
6285;3925;Grächen
2762;4123;Allschwil
981;4704;Niederbipp
1407;6056;Sarnen
1405;6078;Lungern
4761;8370;Sirnach
4075;8964;Rudolfstetten-Friedlisberg
3002;9064;Hundwil
1023;6275;Ballwil
1085;6232;Geuensee
1005;6166;Hasle (LU)
1103;6210;Sursee
1007;6113;Romoos
579;3804;Habkern
853;3153;Rüschegg
888;3086;Wald (BE)
794;3770;Zweisimmen
852;1738;Guggisberg
6784;2950;Courgenay
449;2535;Sauge
372;2532;Evilard
707;2732;Saules (BE)
6710;2852;Courtételle
359;3067;Vechigen
734;3274;Bühl
6702;2856;Boécourt
715;2717;Rebévelier
4006;5722;Gränichen
2501;4652;Winznau
6212;1905;Dorénaz
6024;1997;Nendaz
573;3855;Brienz (BE)
4084;8905;Islisberg
2580;4616;Kappel (SO)
578;3815;Gündlischwand
1216;6473;Silenen
4133;5736;Burg (AG)
4306;5467;Fisibach
421;3472;Rumendingen
405;3423;Ersigen
991;3377;Walliswil bei Wangen
982;3362;Niederönz
2526;4573;Lohn-Ammannsegg
2041;1566;Saint-Aubin (FR)
2254;1791;Courtepin
2102;1675;Ursy
5813;1545;Chevroux
2294;1735;Giffers
6451;2087;Cornaux
5458;1595;Faoug
5254;6850;Mendrisio
3313;8722;Kaltbrunn
4322;5463;Wislikofen
5435;1176;Saint-Livres
4476;8586;Erlen
2530;4565;Recherswil
2543;2544;Bettlach
3004;9103;Schwellbrunn
5520;1417;Essertines-sur-Yverdon
5806;1083;Jorat-Mézières
5861;1180;Rolle
5475;1148;Chavannes-le-Veyron
6159;1896;Vouvry
5914;1434;Ependes (VD)
5654;1115;Vullierens
5621;1123;Aclens
5512;1038;Bercher
5705;1279;Bogis-Bossey
5673;1513;Hermenches
3297;7323;Vilters-Wangs
6010;3913;Termen
4223;5644;Auw
5287;6705;Riviera
1704;6313;Menzingen
57;8428;Freienstein-Teufen
227;8472;Seuzach
100;8174;Stadel
182;8489;Wildberg
91;8166;Niederweningen
82;8113;Boppelsen
220;8523;Hagenbuch
67;8197;Rafz
32;8457;Humlikon
304;3283;Kallnach
3561;7742;Poschiavo
58;8192;Glattfelden
4671;8280;Kreuzlingen
6611;1284;Chancy
6642;1253;Vandoeuvres
6626;1254;Jussy
6632;1258;Perly-Certoux
6639;1286;Soral
54;8305;Dietlikon
5583;1023;Crissier
4231;6042;Dietwil
4008;5022;Küttigen
4871;8259;Wagenhausen
5167;6952;Canobbio
2868;4495;Zeglingen
2821;4422;Arisdorf
6283;3926;Embd
6408;2016;Cortaillod
4083;5621;Zufikon
2621;4208;Nunningen
2612;4229;Beinwil (SO)
2618;4204;Himmelried
2617;4247;Grindel
2480;4206;Seewen
3005;9063;Stein (AR)
4034;5432;Neuenhof
112;8608;Bubikon
5765;1325;Vaulion
3946;7204;Untervaz
1506;6372;Ennetmoos
4121;5233;Villigen
683;2735;Champoz
2791;4244;Röschenz
924;3619;Eriz
943;3635;Uebeschi
670;3176;Neuenegg
6721;2842;Rossemaison
592;3855;Schwanden bei Brienz
767;3647;Reutigen
716;2717;Petit-Val
630;3112;Allmendingen
6703;2803;Bourrignon
6783;2922;Courchavon
903;3438;Lauperswil
3711;7430;Rongellen
3961;7214;Grüsch
3581;7152;Sagogn
3575;7031;Laax
3947;7205;Zizers
3891;7223;Luzein
3951;7306;Fläsch
4200;5502;Hunzenschwil
435;2333;La Ferrière
433;2607;Cortébert
6743;2345;Les Breuleux
92;8154;Oberglatt
2583;5012;Schönenwerd
2573;4657;Dulliken
6214;1925;Finhaut
4786;9535;Wilen (TG)
3952;7307;Jenins
4545;8253;Diessenhofen
2421;4714;Aedermannsdorf
4302;5334;Böbikon
4164;5272;Gansingen
989;3367;Thörigen
402;3473;Alchenstorf
901;3536;Eggiwil
4311;5325;Leibstadt
5003;6593;Cadenazzo
541;3305;Iffwil
557;3303;Zuzwil (BE)
535;3053;Deisswil bei Münchenbuchsee
4307;5324;Full-Reuenthal
2198;1763;Granges-Paccot
2089;1674;Montet (Glâne)
669;1797;Münchenwiler
2307;1734;Tentlingen
2051;1567;Delley-Portalban
4072;5524;Niederwil (AG)
5427;1173;Féchy
4646;8272;Ermatingen
4716;9553;Bettwiesen
6154;1897;Port-Valais
5703;1269;Bassins
5493;1317;Orny
5678;1510;Moudon
5499;1304;Senarclens
5741;1355;L'Abergement
5643;1028;Préverenges
5932;1412;Ursins
5910;1406;Cronay
5431;1146;Mollens (VD)
5722;1274;Grens
5860;1166;Perroy
5414;1844;Villeneuve (VD)
5723;1295;Mies
5858;1184;Luins
5514;1041;Bottens
5704;1268;Begnins
228;8488;Turbenthal
34;8248;Laufen-Uhwiesen
2;8910;Affoltern am Albis
247;8010;Schlieren
6266;1950;Sion
6252;3961;Anniviers
1631;8756;Glarus Süd
5242;6828;Balerna
6195;3917;Ferden
3402;9230;Flawil
4656;8594;Güttingen
793;3772;St. Stephan
4881;8514;Amlikon-Bissegg
4308;5466;Kaiserstuhl
2919;8234;Stetten (SH)
2915;8239;Dörflingen
4811;8506;Herdern
4723;9502;Braunau
3945;7201;Trimmis
4010;5036;Oberentfelden
1375;8845;Unteriberg
230;8400;Winterthur
177;8330;Pfäffikon
4228;5623;Boswil
5180;6944;Cureglia
5214;6948;Porza
5195;6817;Maroggia
5146;6999;Astano
3273;9472;Grabs
2846;4460;Gelterkinden
2829;4410;Liestal
4081;8967;Widen
4204;5702;Niederlenz
2768;4107;Ettingen
2615;4228;Erschwil
2766;4127;Birsfelden
4071;8916;Jonen
3022;9056;Gais
4536;8254;Basadingen-Schlattingen
1511;6386;Wolfenschiessen
1095;6208;Oberkirch
1081;6215;Beromünster
925;3617;Fahrni
706;2712;Saicourt
438;2534;Orvin
613;3434;Landiswil
6745;2875;Les Enfers
572;3806;Bönigen
501;3233;Tschugg
843;1657;Saanen
931;3622;Homberg
623;3113;Rubigen
754;3272;Walperswil
571;3803;Beatenberg
354;3037;Kirchlindach
958;3453;Trachselwald
6729;2853;Haute-Sorne
6298;3932;Visperterminen
3983;7184;Medel (Lucmagn)
4031;5444;Künten
2513;4562;Biberist
3292;8890;Flums
4029;5412;Gebenstorf
5586;1000;Lausanne
387;2543;Lengnau (BE)
4315;5332;Rekingen (AG)
5002;6500;Bellinzona
5590;1009;Pully
2457;3254;Messen
1701;6319;Baar
2304;1717;St. Ursen
2226;1733;Treyvaux
5841;1660;Château-d'Oex
2300;1737;Plasselb
6432;2406;La Brévine
2296;1714;Heitenried
2261;3280;Greng
3233;9442;Berneck
3394;9607;Mosnang
1135;6154;Luthern
4239;5643;Sins
6454;2068;Hauterive (NE)
3232;9436;Balgach
3851;7260;Davos
4209;5703;Seon
4224;5637;Beinwil (Freiamt)
2545;4534;Flumenthal
5403;1846;Chessel
5763;1358;Valeyres-sous-Rances
5926;1405;Pomy
5747;1353;Bofflens
5831;1523;Valbroye
5640;1167;Lussy-sur-Morges
5623;1164;Buchillon
5718;1272;Genolier
5565;1425;Onnens (VD)
5766;1445;Vuiteboeuf
5922;1442;Montagny-près-Yverdon
5714;1263;Crassier
5924;1430;Orges
5138;6516;Cugnasco-Gerra
5071;6774;Dalpe
86;8157;Dielsdorf
28;8416;Flaach
39;8478;Thalheim an der Thur
117;8340;Hinwil
131;8134;Adliswil
41;8467;Truttikon
61;8194;Hüntwangen
29;8247;Flurlingen
141;8136;Thalwil
4;8915;Hausen am Albis
4131;5712;Beinwil am See
4079;8918;Unterlunkhofen
6232;3967;Chalais
6113;3970;Salgesch
6025;1963;Vétroz
6077;3989;Goms
6197;3917;Kippel
3752;7562;Samnaun
6641;1256;Troinex
6637;1281;Russin
6606;1293;Bellevue
6004;3939;Eggerberg
6281;3937;Baltschieder
2511;4556;Aeschi (SO)
4183;5079;Zeihen
2903;8224;Löhningen
2938;8455;Rüdlingen
608;3506;Grosshöchstetten
4236;5630;Muri (AG)
3837;6543;Calanca
4951;8554;Wigoltingen
2503;5015;Erlinsbach (SO)
4003;5033;Buchs (AG)
2401;4622;Egerkingen
723;2520;La Neuveville
2844;4463;Buus
2848;4465;Hemmiken
2854;4453;Nusshof
3101;9050;Appenzell
6712;2802;Develier
2764;4105;Biel-Benken
2479;4118;Rodersdorf
2769;4023;Münchenstein
2576;5014;Gretzenbach
4111;5223;Riniken
3375;9126;Oberhelfenschwil
616;3110;Münsingen
4756;8577;Schönholzerswilen
172;8320;Fehraltorf
116;8627;Grüningen
1086;6022;Grosswangen
1127;6243;Egolzwil
1083;6018;Buttisholz
744;2552;Orpund
311;3054;Schüpfen
855;3148;Schwarzenburg
444;2605;Sonceboz-Sombeval
407;3412;Heimiswil
3638;7412;Scharans
6217;1890;Saint-Maurice
6215;1869;Massongex
115;8614;Gossau (ZH)
4416;8580;Hefenhofen
4092;5242;Birr
2578;4617;Gunzgen
1369;6452;Riemenstalden
4094;5076;Bözen
4124;5225;Bözberg
4166;5027;Herznach
4255;4322;Mumpf
4199;5113;Holderbank (AG)
338;4938;Rohrbach
6056;3995;Ernen
2216;1723;Pierrafortscha
2228;1752;Villars-sur-Glâne
2200;1772;Grolley
2335;1609;Saint-Martin (FR)
2217;1772;Ponthaux
2025;1470;Lully (FR)
2237;1747;Prez
6487;2043;Val-de-Ruz
1368;8843;Oberiberg
6009;3907;Simplon
6706;2825;Courchapoix
3339;8730;Uznach
6422;2325;Les Planchettes
5851;1165;Allaman
4446;8580;Sommeri
2430;4716;Welschenrohr-Gänsbrunnen
2514;4556;Bolken
2549;4535;Kammersrohr
2128;1653;Châtel-sur-Montsalvens
5423;1144;Ballens
5537;1040;Villars-le-Terroir
5651;1029;Villars-Sainte-Croix
5523;1055;Froideville
5430;1261;Marchissy
5613;1096;Bourg-en-Lavaux
5527;1054;Morrens (VD)
5719;1276;Gingins
6157;1873;Val-d'Illiez
5717;1297;Founex
5541;1376;Goumoëns
5852;1195;Bursinel
5748;1329;Bretonnières
5665;1512;Chavannes-sur-Moudon
5555;1426;Corcelles-près-Concise
5633;1026;Echandens
4210;5603;Staufen
5304;6685;Bosco/Gurin
5309;6683;Cerentino
5078;6772;Prato (Leventina)
5;8908;Hedingen
114;8496;Fischenthal
294;8353;Elgg
293;8804;Wädenswil
6087;1969;Saint-Martin (VS)
6248;3976;Sierre
6263;1971;Grimisuat
6084;1982;Hérémence
4073;8917;Oberlunkhofen
6635;1243;Presinge
6636;1241;Puplinge
6622;1294;Genthod
6633;1228;Plan-les-Ouates
2532;4553;Subingen
388;3297;Leuzigen
3424;9203;Oberbüren
2952;8226;Schleitheim
2951;8228;Beggingen
2917;8235;Lohn (SH)
5635;1015;Ecublens (VD)
4045;5430;Wettingen
4021;5400;Baden
4226;5627;Besenbüren
4426;8593;Kesswil
3831;6557;Cama
6136;1919;Martigny
4891;8572;Berg (TG)
5143;6994;Aranno
2862;4492;Tecknau
2855;4494;Oltingen
786;3860;Schattenhalb
3673;7404;Domleschg
2883;4207;Bretzwil
2620;4233;Meltingen
2785;4202;Duggingen
2477;4115;Metzerlen-Mariastein
2471;4112;Bättwil
1401;6053;Alpnach
3311;8873;Amden
3007;9104;Waldstatt
443;2610;Saint-Imier
423;3425;Willadingen
3037;9428;Walzenhausen
6295;3929;Täsch
3804;6542;Buseno
4781;9545;Wängi
1507;6052;Hergiswil (NW)
1010;6182;Escholzmatt-Marbach
629;3504;Oberhünigen
492;3235;Erlach
908;3556;Trub
936;3638;Pohlern
763;3758;Erlenbach im Simmental
667;3177;Laupen
585;3706;Leissigen
6715;2827;Mervelier
883;3662;Seftigen
626;3512;Walkringen
2793;4222;Zwingen
749;2557;Studen (BE)
611;3629;Kiesen
3713;7444;Ferrera
2584;4656;Starrkirch-Wil
1219;6465;Unterschächen
4304;5312;Döttingen
4041;5608;Stetten (AG)
4309;5313;Klingnau
4258;4310;Rheinfelden
4312;5426;Lengnau (AG)
5405;1882;Gryon
960;4954;Wyssachen
5017;6592;Sant'Antonino
3378;9114;Neckertal
401;3426;Aefligen
2336;1623;Semsales
5843;1659;Rougemont
2308;3182;Ueberstorf
2293;3186;Düdingen
1068;6354;Vitznau
4691;8596;Münsterlingen
3271;9470;Buchs (SG)
4176;5326;Schwaderloch
3031;9035;Grub (AR)
5422;1170;Aubonne
3231;9434;Au (SG)
4616;8524;Uesslingen-Buch
4826;8265;Mammern
3338;8716;Schmerikon
3392;9533;Kirchberg (SG)
5693;1063;Montanaire
5488;1148;Mauraz
5743;1321;Arnex-sur-Orbe
2038;1410;Prévondavaux
5712;1296;Coppet
5401;1860;Aigle
5556;1420;Fiez
5750;1356;Les Clées
5429;1261;Longirod
5611;1073;Savigny
5711;1291;Commugny
5533;1041;Poliez-Pittet
5644;1128;Reverolle
5856;1186;Essertines-sur-Rolle
5891;1820;Veytaux
1347;8856;Tuggen
6173;3982;Bitsch
5112;6633;Lavertezzo
5096;6645;Brione sopra Minusio
4546;8252;Schlatt (TG)
2517;4552;Derendingen
6116;3953;Varen
6112;3948;Oberems
3953;7304;Maienfeld
25;8447;Dachsen
216;8474;Dinhard
21;8452;Adlikon
226;8418;Schlatt (ZH)
4135;5728;Gontenschwil
4141;5734;Reinach (AG)
4147;5732;Zetzwil
4139;5737;Menziken
6246;1958;Saint-Léonard
6011;3907;Zwischbergen
3217;9323;Steinach
6617;1223;Cologny
934;3653;Oberhofen am Thunersee
905;3433;Rüderswil
30;8450;Andelfingen
2901;8214;Gächlingen
5072;6746;Faido
4288;5058;Wiliberg
4566;8500;Frauenfeld
3234;9444;Diepoldsau
5206;6991;Neggio
5176;6949;Comano
5181;6981;Curio
2524;4554;Hüniken
6459;2072;Saint-Blaise
6455;2525;Le Landeron
2770;4132;Muttenz
2474;4145;Gempen
2763;4144;Arlesheim
2481;4108;Witterswil
3506;7077;Vaz/Obervaz
2701;4000;Basel
4285;4802;Strengelbach
1344;8853;Lachen
1504;6376;Emmetten
1510;6362;Stansstad
6292;3927;St. Niklaus
1122;6147;Altbüron
1098;6017;Ruswil
1021;6287;Aesch (LU)
1107;6110;Wolhusen
6709;2822;Courroux
768;3646;Spiez
307;3042;Meikirch
2792;4246;Wahlen
493;2577;Finsterhennen
708;2827;Schelten
6790;2902;Fontenais
361;3052;Zollikofen
6748;2714;Les Genevez (JU)
590;3805;Ringgenberg (BE)
709;2747;Seehof
3695;7434;Sufers
3572;7153;Falera
2405;4626;Niederbuchsiten
441;2616;Renan (BE)
4591;9548;Matzingen
2586;4612;Wangen bei Olten
6142;1929;Trient
3395;9606;Bütschwil-Ganterschwil
4038;5415;Obersiggenthal
4066;5445;Eggenwil
5648;1025;Saint-Sulpice (VD)
5584;1066;Epalinges
4044;5301;Untersiggenthal
4068;5607;Hägglingen
4146;5726;Unterkulm
4283;5745;Safenwil
4143;5046;Schmiedrued
340;4933;Rütschelen
538;3312;Fraubrunnen
6434;2414;Le Cerneux-Péquignot
2303;1736;St. Silvester
2113;1685;Vuisternens-devant-Romont
2022;1544;Gletterens
2135;1663;Gruyères
4105;5318;Mandach
3551;7743;Brusio
3102;9108;Gonten
2554;4533;Riedholz
2535;4558;Drei Höfe
762;3753;Diemtigen
5702;1273;Arzier-Le Muids
5428;1188;Gimel
5923;1047;Oppens
5726;1278;La Rippe
5762;1355;Sergey
5930;1437;Suscévaz
5646;1162;Saint-Prex
5803;1085;Vulliens
5434;1188;Saint-George
5410;1862;Ormont-Dessous
5862;1180;Tartegnin
5760;1439;Rances
6008;3911;Ried-Brig
732;2564;Bellmund
6118;3945;Gampel-Bratsch
6101;3951;Agarn
101;8162;Steinmaur
194;8606;Greifensee
9;8932;Mettmenstetten
1;8914;Aeugst am Albis
98;8165;Schleinikon
6082;1966;Ayent
6090;1961;Mont-Noble
6239;1977;Icogne
574;3856;Brienzwiler
4221;5646;Abtwil
2534;4528;Zuchwil
2962;8261;Hemishofen
4201;5600;Lenzburg
5591;1020;Renens (VD)
5231;6943;Vezia
5149;6981;Bedigliora
5205;6933;Muzzano
3821;6558;Lostallo
2845;4442;Diepflingen
2866;4451;Wintersingen
2863;4456;Tenniken
2852;4448;Läufelfingen
2864;4441;Thürnen
2523;4557;Horriwil
261;8000;Zürich
2830;4419;Lupsingen
4289;4800;Zofingen
1406;6072;Sachseln
1349;8855;Wangen (SZ)
3036;9044;Wald (AR)
6291;3910;Saas-Grund
6458;2000;Neuchâtel
1009;6105;Werthenstein
927;3625;Heiligenschwendi
737;3274;Hermrigen
606;3671;Brenzikofen
6778;2915;Bure
704;2762;Roches (BE)
591;3813;Saxeten
886;3665;Wattenwil
748;2556;Schwadernau
6750;2718;Lajoux (JU)
904;3538;Röthenbach im Emmental
6153;1870;Monthey
3972;7212;Seewis im Prättigau
5406;1892;Lavey-Morcles
3444;9205;Waldkirch
448;2613;Villeret
2572;4658;Däniken
4301;5333;Baldingen
4170;5080;Laufenburg
2426;4712;Laupersdorf
5606;1093;Lutry
3035;9411;Reute (AR)
4196;5615;Fahrwangen
4175;5072;Oeschgen
602;3508;Arni (BE)
533;3315;Bätterkinden
5010;6533;Lumino
553;3053;Wiggiswil
4049;5420;Ehrendingen
6057;3984;Fiesch
5842;1658;Rossinière
2114;1694;Villorsonnens
2306;1712;Tafers
6437;2316;Les Ponts-de-Martel
2183;1720;Corminboeuf
2138;1656;Jaun
6423;2314;La Sagne
2145;1661;Le Pâquier (FR)
2175;1782;Belfaux
1311;6442;Gersau
6299;3934;Zeneggen
499;2577;Siselen
121;8620;Wetzikon (ZH)
2527;4542;Luterbach
556;4564;Zielebach
2130;1653;Crésuz
2129;1647;Corbières
5925;1413;Orzens
5886;1815;Montreux
5931;1436;Treycovagnes
5758;1148;La Praz
5472;1035;Bournens
5592;1032;Romanel-sur-Lausanne
5905;1443;Champvent
5531;1375;Penthéréaz
5812;1537;Champtauroz
5404;1856;Corbeyrier
5480;1306;Daillens
5935;1404;Villars-Epeney
5552;1452;Bullet
5907;1464;Chavannes-le-Chêne
5857;1182;Gilly
1301;8836;Einsiedeln
5117;6647;Mergoscia
5073;6745;Giornico
6104;3947;Ergisch
6117;3956;Guttet-Feschel
385;3264;Diessbach bei Büren
2849;4452;Itingen
38;8462;Rheinau
89;8172;Niederglatt
51;8184;Bachenbülach
192;8132;Egg
60;8181;Höri
6;8926;Kappel am Albis
56;8423;Embrach
27;8245;Feuerthalen
85;8114;Dänikon
2520;4566;Halten
6616;1222;Collonge-Bellerive
2550;4513;Langendorf
2914;8236;Büttenhardt
69;8301;Wallisellen
5938;1400;Yverdon-les-Bains
5260;6883;Novazzano
5263;6826;Riva San Vitale
5141;6990;Agno
5187;6929;Gravesano
1342;8854;Galgenen
2826;4304;Giebenach
2886;4434;Hölstein
3723;7403;Rhäzüns
4067;5525;Fischbach-Göslikon
2774;4124;Schönenbuch
2788;4253;Liesberg
2775;4106;Therwil
2622;4234;Zullwil
2274;3286;Muntelier
2971;8215;Hallau
1508;6382;Oberdorf (NW)
4123;5210;Windisch
1121;6248;Alberswil
1147;4806;Wikon
1041;6288;Schongau
1143;6247;Schötz
928;3627;Heimberg
309;3036;Radelfingen
360;3032;Wohlen bei Bern
870;3122;Kehrsatz
389;3294;Meienried
741;3274;Merzligen
750;2572;Sutz-Lattrigen
4237;5647;Oberrüti
3862;7232;Furna
3791;7524;Zuoz
3785;7522;La Punt-Chamues-ch
6757;2350;Saignelégier
1210;6493;Hospental
404;3400;Burgdorf
432;2610;Cormoret
6219;1904;Vernayaz
745;2562;Port
3514;7493;Schmitten (GR)
4142;5044;Schlossrued
4253;4312;Magden
4078;5619;Uezwil
4120;5106;Veltheim (AG)
342;4922;Thunstetten
4406;8582;Dozwil
4287;4803;Vordemwald
420;3422;Rüdtligen-Alchenflüh
544;3302;Moosseedorf
5827;1552;Trey
2035;1485;Nuvilly
2230;1723;Villarsel-sur-Marly
6456;2523;Lignières
2099;1678;Siviriez
2097;1673;Rue
2096;1680;Romont (FR)
113;8632;Dürnten
5581;1092;Belmont-sur-Lausanne
2853;4464;Maisprach
2516;4543;Deitingen
2544;4532;Feldbrunnen-St. Niklaus
2556;2545;Selzach
5701;1277;Arnex-sur-Nyon
5642;1110;Morges
5690;1515;Villars-le-Comte
5921;1415;Molondin
5653;1134;Vufflens-le-Château
5854;1268;Burtigny
5730;1270;Trélex
5904;1436;Chamblon
5479;1148;Cuarnens
5436;1187;Saint-Oyens
5476;1316;Chevilly
5683;1682;Prévonloup
6002;3900;Brig-Glis
6007;3914;Naters
5049;6719;Blenio
1031;6280;Hochdorf
1707;6343;Risch
418;3414;Oberburg
13;8143;Stallikon
70;8195;Wasterkingen
3;8906;Bonstetten
178;8322;Russikon
26;8458;Dorf
11;8913;Ottenbach
173;8335;Hittnau
251;8104;Weiningen (ZH)
5721;1196;Gland
4132;5708;Birrwil
6023;1975;Conthey
3236;9430;St. Margrethen
4063;5620;Bremgarten (AG)
2403;4703;Kestenholz
6629;1252;Meinier
6614;1244;Choulex
6193;3935;Bürchen
4683;8574;Lengwil
2464;4574;Lüsslingen-Nennigkofen
2455;4571;Lüterkofen-Ichertswil
2964;8260;Stein am Rhein
2920;8236;Thayngen
3218;9327;Tübach
5627;1022;Chavannes-près-Renens
6204;3949;Steg-Hohtenn
4230;5632;Buttwil
5162;6814;Cadempino
5154;6816;Bissone
5171;6987;Caslano
4181;5064;Wittnau
3932;7063;Tschiertschen-Praden
2851;4496;Kilchberg (BL)
2860;4497;Rünenberg
2865;4493;Wenslingen
2888;4438;Langenbruck
2765;4101;Binningen
4551;8355;Aadorf
4232;5637;Geltwil
4257;4305;Olsberg
3342;8638;Eschenbach (SG)
3408;9240;Uzwil
6054;3996;Binn
3272;9473;Gams
1503;6383;Dallenwil
4080;5612;Villmergen
4107;5243;Mülligen
1057;6038;Honau
1140;6260;Reiden
1004;6173;Flühli
1063;6045;Meggen
1024;6020;Emmen
1058;6047;Horw
1061;6000;Luzern
6131;1932;Bovernier
3712;7432;Zillis-Reischen
5402;1880;Bex
6220;1891;Vérossaz
3427;9510;Wil (SG)
3393;9604;Lütisburg
4179;5028;Ueken
3543;7452;Surses
3805;6540;Castaneda
4104;5242;Lupfig
922;3638;Blumenstein
4227;5618;Bettwil
6032;1946;Bourg-Saint-Pierre
1215;6377;Seelisberg
4274;4805;Brittnau
4317;5464;Rümikon
4235;5642;Mühlau
6058;3801;Fieschertal
2220;1724;Le Mouret
2117;1690;Villaz
2008;1473;Châtillon (FR)
5821;1565;Missy
5790;1613;Maracon
942;3600;Thun
4441;8599;Salmsach
3274;9465;Sennwald
4436;8590;Romanshorn
6288;3905;Saas-Almagell
5091;6612;Ascona
861;3123;Belp
2163;1654;Val-de-Charmey
5727;1264;Saint-Cergue
5684;1513;Rossenges
5902;1432;Belmont-sur-Yverdon
6610;1298;Céligny
5759;1324;Premier
6151;1874;Champéry
5492;1147;Montricher
5761;1323;Romainmôtier-Envy
5501;1036;Sullens
5830;1554;Villarzel
5521;1037;Etagnières
5601;1071;Chexbres
5539;1418;Vuarrens
6199;3942;Raron
1710;6318;Walchwil
1705;6345;Neuheim
3787;7500;St. Moritz
6711;2800;Delémont
4134;5724;Dürrenäsch
224;8422;Pfungen
33;8453;Kleinandelfingen
296;8307;Illnau-Effretikon
43;8459;Volken
96;8105;Regensdorf
72;8185;Winkel
6089;1981;Vex
3422;9246;Niederbüren
6605;1257;Bardonnex
6645;1234;Veyrier
6601;1288;Aire-la-Ville
6286;3931;Lalden
2972;8216;Oberhallau
152;8704;Herrliberg
1708;6312;Steinhausen
4279;4853;Murgenthal
4281;5057;Reitnau
4007;5042;Hirschthal
4013;5035;Unterentfelden
3216;9404;Rorschacherberg
5151;6934;Bioggio
5249;6875;Castel San Pietro
5221;6942;Savosa
5216;6984;Pura
2890;4436;Liedertswil
2827;4423;Hersberg
2895;4437;Waldenburg
1362;6410;Arth
2406;4625;Oberbuchsiten
4203;5103;Möriken-Wildegg
158;8712;Stäfa
3722;7013;Domat/Ems
2478;4412;Nuglar-St. Pantaleon
2611;4252;Bärschwil
2786;4203;Grellingen
6296;3923;Törbel
6290;3906;Saas-Fee
1404;6068;Kerns
4030;8956;Killwangen
4280;4665;Oftringen
302;3282;Bargen (BE)
4751;9532;Rickenbach (TG)
3294;7317;Pfäfers
4571;8546;Gachnang
3405;9243;Jonschwil
3542;7084;Albula/Alvra
4681;8585;Langrickenbach
1039;6027;Römerswil
1064;6344;Meierskappel
1094;6207;Nottwil
1055;6038;Gisikon
1032;6276;Hohenrain
1053;6036;Dierikon
1102;6204;Sempach
118;8630;Rüti (ZH)
2579;4614;Hägendorf
4821;8536;Hüttwilen
4286;4813;Uerkheim
4191;5600;Ammerswil
4091;5105;Auenstein
4035;5443;Niederrohrdorf
4305;5304;Endingen
4192;5706;Boniswil
551;3322;Urtenen-Schönbühl
4028;5423;Freienwil
2148;1632;Riaz
120;8636;Wald (ZH)
153;8634;Hombrechtikon
215;8421;Dättlikon
157;8618;Oetwil am See
250;8902;Urdorf
223;8412;Neftenbach
6240;3978;Lens
6083;1984;Evolène
22;8463;Benken (ZH)
6615;1239;Collex-Bossy
4721;8362;Bichelsee-Balterswil
4182;5063;Wölflinswil
4064;5619;Büttikon
4621;8532;Warth-Weiningen
4061;8905;Arni (AG)
219;8352;Elsau
6300;3920;Zermatt
6177;3993;Grengiols
249;8103;Unterengstringen
231;8483;Zell (ZH)
14;8907;Wettswil am Albis
83;8107;Buchs (ZH)
99;8165;Schöfflisdorf
4117;5112;Thalheim (AG)
3214;9402;Mörschwil
2404;4623;Neuendorf
4222;5628;Aristau
4177;4334;Sisseln
3715;7433;Muntogna da Schons
3681;7446;Avers
3640;7411;Sils im Domleschg
4238;8919;Rottenschwil
3668;7430;Thusis
3701;7440;Andeer
